Metro,datetime,term_Fire,term_Water Damage,term_Smoke,term_Wildfire,term_Flooding
Chicago-Naperville-Elgin,2014-02-01,75,2,18,1,4
Bloomington,2014-02-01,81,0,19,0,0
Detroit-Warren-Dearborn,2014-02-01,77,1,21,0,1
Dubuque,2014-02-01,87,0,13,0,0
Milwaukee-Waukesha-West Allis,2014-02-01,82,0,17,0,1
Racine,2014-02-01,82,0,17,0,1
Madison,2014-02-01,84,0,16,0,0
Manitowoc,2014-02-01,81,0,19,0,0
La Crosse-Onalaska,2014-02-01,79,0,20,0,1
Oshkosh-Neenah,2014-02-01,81,0,19,0,0
Minneapolis-St. Paul-Bloomington,2014-02-01,79,1,18,1,1
Fargo,2014-02-01,83,0,16,0,1
Helena,2014-02-01,70,0,30,0,0
Bozeman,2014-02-01,86,0,14,0,0
Missoula,2014-02-01,90,0,8,0,2
Kalispell,2014-02-01,90,0,8,0,2
Rockford,2014-02-01,82,0,16,0,2
St. Louis,2014-02-01,79,0,20,1,0
Kansas City,2014-02-01,81,1,18,0,0
Joplin,2014-02-01,92,0,8,0,0
ColumbiaMO,2014-02-01,77,0,23,0,0
Manhattan,2014-02-01,87,0,13,0,0
Topeka,2014-02-01,87,0,13,0,0
Wichita,2014-02-01,78,1,20,0,1
Little Rock-North Little Rock-Conway,2014-02-01,84,0,16,0,0
Fayetteville-Springdale-Rogers,2014-02-01,88,1,11,0,0
Oklahoma City,2014-02-01,80,1,19,0,0
Dallas-Fort Worth-Arlington,2014-02-01,75,1,23,1,0
Tyler,2014-02-01,79,0,20,0,1
Killeen-Temple,2014-02-01,78,1,21,0,0
Houston-The Woodlands-Sugar Land,2014-02-01,77,1,21,1,0
College Station-Bryan,2014-02-01,78,1,21,0,0
San Antonio-New Braunfels,2014-02-01,77,2,20,1,0
Brownsville-Harlingen,2014-02-01,78,0,20,2,0
Austin-Round Rock,2014-02-01,77,1,21,0,1
El Paso,2014-02-01,81,0,19,0,0
Denver-Aurora-Lakewood,2014-02-01,75,1,23,0,1
Boulder,2014-02-01,75,1,23,0,1
Colorado Springs,2014-02-01,78,3,18,1,0
Salt Lake City,2014-02-01,81,1,18,0,0
Ogden-Clearfield,2014-02-01,81,1,18,0,0
Phoenix-Mesa-Scottsdale,2014-02-01,76,0,23,0,1
Tucson,2014-02-01,73,2,24,0,1
Prescott,2014-02-01,76,0,23,0,1
Albuquerque,2014-02-01,88,1,11,0,0
Las Vegas-Henderson-Paradise,2014-02-01,76,1,22,1,0
Reno,2014-02-01,79,2,17,2,0
Los Angeles-Long Beach-Anaheim,2014-02-01,78,1,21,0,0
