Metro,datetime,term_Fire,term_Water Damage,term_Smoke,term_Wildfire,term_Flooding
San Diego-Carlsbad,2016-12-01,80,1,17,1,1
Oxnard-Thousand Oaks-Ventura,2016-12-01,79,0,20,1,0
Bakersfield,2016-12-01,80,1,19,0,0
Salinas,2016-12-01,81,0,17,2,0
San Francisco-Oakland-Hayward,2016-12-01,87,1,12,0,0
San Jose-Sunnyvale-Santa Clara,2016-12-01,87,1,12,0,0
Stockton-Lodi,2016-12-01,82,1,17,0,0
Sacramento--Roseville--Arden-Arcade,2016-12-01,82,1,17,0,0
Chico,2016-12-01,79,0,21,0,0
Urban Honolulu,2016-12-01,75,3,21,1,0
Portland-Vancouver-Hillsboro,2016-12-01,81,1,17,0,1
Eugene,2016-12-01,85,2,13,0,0
Medford,2016-12-01,79,0,21,0,0
Seattle-Tacoma-Bellevue,2016-12-01,81,0,17,2,0
Spokane-Spokane Valley,2016-12-01,77,0,20,2,1
Anchorage,2016-12-01,85,1,12,1,1
Springfield,2017-01-01,84,0,16,0,0
Worcester,2017-01-01,80,1,18,1,0
Boston-Cambridge-Newton,2017-01-01,80,1,18,1,0
Providence-Warwick,2017-01-01,80,0,19,1,0
Manchester-Nashua,2017-01-01,80,1,18,1,0
Concord,2017-01-01,80,1,18,1,0
Portland-South Portland,2017-01-01,80,1,19,0,0
Lewiston-Auburn,2017-01-01,80,1,19,0,0
Bangor,2017-01-01,85,1,13,0,1
Augusta-Waterville,2017-01-01,86,1,13,0,0
Hartford-West Hartford-East Hartford,2017-01-01,83,0,17,0,0
Norwich-New London,2017-01-01,83,0,17,0,0
New Haven-Milford,2017-01-01,83,0,17,0,0
Bridgeport-Stamford-Norwalk,2017-01-01,83,0,17,0,0
Torrington,2017-01-01,83,0,17,0,0
New York-Newark-Jersey City,2017-01-01,80,1,18,1,0
Albany-Schenectady-Troy,2017-01-01,84,0,16,0,0
Kingston,2017-01-01,84,0,16,0,0
Syracuse,2017-01-01,84,0,16,0,0
Utica-Rome,2017-01-01,87,3,10,0,0
Watertown-Fort Drum,2017-01-01,75,1,24,0,0
Binghamton,2017-01-01,89,1,9,0,1
Batavia,2017-01-01,84,0,16,0,0
Buffalo-Cheektowaga-Niagara Falls,2017-01-01,81,2,17,0,0
Rochester,2017-01-01,84,0,16,0,0
Jamestown-Dunkirk-Fredonia,2017-01-01,88,4,8,0,0
Ithaca,2017-01-01,91,1,8,0,0
Pittsburgh,2017-01-01,83,0,17,0,0
Warren,2017-01-01,88,4,8,0,0
Erie,2017-01-01,88,4,8,0,0
Harrisburg-Carlisle,2017-01-01,86,0,14,0,0
Lancaster,2017-01-01,86,0,14,0,0
York-Hanover,2017-01-01,86,0,14,0,0
Williamsport,2017-01-01,79,1,19,1,0
Allentown-Bethlehem-Easton,2017-01-01,79,1,19,1,0
Philadelphia-Camden-Wilmington,2017-01-01,84,0,16,0,0
Washington-Arlington-Alexandria,2017-01-01,82,1,16,0,1
Baltimore-Columbia-Towson,2017-01-01,85,0,14,1,0
Charlottesville,2017-01-01,87,1,12,0,0
Richmond,2017-01-01,80,1,18,0,1
Virginia Beach-Norfolk-Newport News,2017-01-01,80,1,18,1,0
Wheeling,2017-01-01,85,0,14,0,1
Morgantown,2017-01-01,68,5,27,0,0
Raleigh,2017-01-01,83,2,15,0,0
Durham-Chapel Hill,2017-01-01,83,2,15,0,0
Charlotte-Concord-Gastonia,2017-01-01,78,1,21,0,0
ColumbiaSC,2017-01-01,84,1,15,0,0
Charleston-North Charleston,2017-01-01,81,0,19,0,0
Greenville-Anderson-Mauldin,2017-01-01,83,1,16,0,0
Atlanta-Sandy Springs-Roswell,2017-01-01,79,1,20,0,0
Athens-Clarke County,2017-01-01,81,1,18,0,0
Savannah,2017-01-01,77,0,23,0,0
Jacksonville,2017-01-01,74,1,23,1,1
Orlando-Kissimmee-Sanford,2017-01-01,80,0,20,0,0
Palm Bay-Melbourne-Titusville,2017-01-01,80,0,20,0,0
Miami-Fort Lauderdale-West Palm Beach,2017-01-01,79,0,21,0,0
Tampa-St. Petersburg-Clearwater,2017-01-01,80,1,19,0,0
Cape Coral-Fort Myers,2017-01-01,78,3,19,0,0
North Port-Sarasota-Bradenton,2017-01-01,80,1,19,0,0
Clarksville,2017-01-01,77,0,22,0,1
Nashville-Davidson--Murfreesboro--Franklin,2017-01-01,77,0,22,0,1
Memphis,2017-01-01,79,1,20,0,0
Lexington-Fayette,2017-01-01,80,0,19,0,1
Columbus,2017-01-01,83,1,16,0,0
Cleveland-Elyria,2017-01-01,83,1,16,0,0
Canton-Massillon,2017-01-01,83,1,16,0,0
Cincinnati,2017-01-01,81,0,19,0,0
Dayton,2017-01-01,75,0,24,1,0
Findlay,2017-01-01,96,0,4,0,0
Indianapolis-Carmel-Anderson,2017-01-01,82,1,17,0,0
Chicago-Naperville-Elgin,2017-01-01,78,0,17,1,4
Bloomington,2017-01-01,82,1,17,0,0
Detroit-Warren-Dearborn,2017-01-01,79,1,19,0,1
Dubuque,2017-01-01,83,2,15,0,0
Milwaukee-Waukesha-West Allis,2017-01-01,85,0,15,0,0
Racine,2017-01-01,85,0,15,0,0
Madison,2017-01-01,81,1,17,0,1
Manitowoc,2017-01-01,81,2,17,0,0
La Crosse-Onalaska,2017-01-01,81,2,16,1,0
Oshkosh-Neenah,2017-01-01,81,2,17,0,0
Minneapolis-St. Paul-Bloomington,2017-01-01,76,1,20,1,2
Fargo,2017-01-01,82,1,16,0,1
Helena,2017-01-01,77,0,16,0,7
Bozeman,2017-01-01,72,0,28,0,0
Missoula,2017-01-01,85,4,11,0,0
Kalispell,2017-01-01,85,4,11,0,0
Rockford,2017-01-01,81,0,19,0,0
St. Louis,2017-01-01,81,0,18,1,0
Kansas City,2017-01-01,75,1,22,2,0
Joplin,2017-01-01,77,3,20,0,0
ColumbiaMO,2017-01-01,74,1,23,2,0
Manhattan,2017-01-01,81,0,18,0,1
Topeka,2017-01-01,81,0,18,0,1
Wichita,2017-01-01,78,1,21,0,0
Little Rock-North Little Rock-Conway,2017-01-01,83,0,16,1,0
Fayetteville-Springdale-Rogers,2017-01-01,80,2,18,0,0
Oklahoma City,2017-01-01,82,1,16,0,1
Dallas-Fort Worth-Arlington,2017-01-01,77,2,21,0,0
Tyler,2017-01-01,78,1,21,0,0
Killeen-Temple,2017-01-01,83,0,16,0,1
Houston-The Woodlands-Sugar Land,2017-01-01,72,7,20,1,0
College Station-Bryan,2017-01-01,83,0,16,0,1
San Antonio-New Braunfels,2017-01-01,76,1,23,0,0
Brownsville-Harlingen,2017-01-01,81,0,18,1,0
Austin-Round Rock,2017-01-01,79,1,19,0,1
El Paso,2017-01-01,78,0,21,0,1
Denver-Aurora-Lakewood,2017-01-01,76,2,20,1,1
Boulder,2017-01-01,76,2,20,1,1
Colorado Springs,2017-01-01,86,2,12,0,0
Salt Lake City,2017-01-01,77,4,19,0,0
Ogden-Clearfield,2017-01-01,77,4,19,0,0
Phoenix-Mesa-Scottsdale,2017-01-01,75,3,22,0,0
Tucson,2017-01-01,73,1,25,1,0
Prescott,2017-01-01,75,3,22,0,0
Albuquerque,2017-01-01,77,2,21,0,0
Las Vegas-Henderson-Paradise,2017-01-01,73,2,24,0,1
Reno,2017-01-01,43,43,14,0,0
Los Angeles-Long Beach-Anaheim,2017-01-01,73,5,21,1,0
Riverside-San Bernardino-Ontario,2017-01-01,73,5,21,1,0
San Diego-Carlsbad,2017-01-01,74,7,19,0,0
Oxnard-Thousand Oaks-Ventura,2017-01-01,73,5,21,1,0
Bakersfield,2017-01-01,74,4,22,0,0
Salinas,2017-01-01,68,15,17,0,0
San Francisco-Oakland-Hayward,2017-01-01,69,12,18,1,0
San Jose-Sunnyvale-Santa Clara,2017-01-01,69,12,18,1,0
Stockton-Lodi,2017-01-01,68,17,14,1,0
Sacramento--Roseville--Arden-Arcade,2017-01-01,68,17,14,1,0
Chico,2017-01-01,68,14,18,0,0
Urban Honolulu,2017-01-01,81,1,17,1,0
Portland-Vancouver-Hillsboro,2017-01-01,81,3,16,0,0
Eugene,2017-01-01,78,3,18,1,0
Medford,2017-01-01,73,8,19,0,0
Seattle-Tacoma-Bellevue,2017-01-01,80,2,17,1,0
Spokane-Spokane Valley,2017-01-01,75,3,21,1,0
Anchorage,2017-01-01,81,0,19,0,0
Springfield,2017-02-01,81,1,17,1,0
Worcester,2017-02-01,80,1,18,1,0
Boston-Cambridge-Newton,2017-02-01,80,1,18,1,0
Providence-Warwick,2017-02-01,80,1,19,0,0
Manchester-Nashua,2017-02-01,80,1,18,1,0
Concord,2017-02-01,80,1,18,1,0
Portland-South Portland,2017-02-01,82,2,16,0,0
Lewiston-Auburn,2017-02-01,82,2,16,0,0
Bangor,2017-02-01,80,2,18,0,0
Augusta-Waterville,2017-02-01,86,0,14,0,0
Hartford-West Hartford-East Hartford,2017-02-01,85,1,14,0,0
Norwich-New London,2017-02-01,85,1,14,0,0
New Haven-Milford,2017-02-01,85,1,14,0,0
Bridgeport-Stamford-Norwalk,2017-02-01,85,1,14,0,0
Torrington,2017-02-01,85,1,14,0,0
New York-Newark-Jersey City,2017-02-01,83,0,16,1,0
Albany-Schenectady-Troy,2017-02-01,81,1,17,1,0
Kingston,2017-02-01,81,1,17,1,0
Syracuse,2017-02-01,85,0,14,1,0
Utica-Rome,2017-02-01,79,0,21,0,0
Watertown-Fort Drum,2017-02-01,78,2,20,0,0
Binghamton,2017-02-01,81,1,16,0,2
Batavia,2017-02-01,85,0,15,0,0
Buffalo-Cheektowaga-Niagara Falls,2017-02-01,81,1,18,0,0
Rochester,2017-02-01,85,0,15,0,0
Jamestown-Dunkirk-Fredonia,2017-02-01,83,0,15,2,0
Ithaca,2017-02-01,85,0,14,0,1
Pittsburgh,2017-02-01,83,1,16,0,0
Warren,2017-02-01,83,0,15,2,0
Erie,2017-02-01,83,0,15,2,0
Harrisburg-Carlisle,2017-02-01,86,1,13,0,0
Lancaster,2017-02-01,86,1,13,0,0
York-Hanover,2017-02-01,86,1,13,0,0
Williamsport,2017-02-01,81,2,17,0,0
Allentown-Bethlehem-Easton,2017-02-01,81,2,17,0,0
Philadelphia-Camden-Wilmington,2017-02-01,85,0,15,0,0
Washington-Arlington-Alexandria,2017-02-01,85,1,13,0,1
Baltimore-Columbia-Towson,2017-02-01,85,1,14,0,0
Charlottesville,2017-02-01,82,2,14,0,2
Richmond,2017-02-01,82,2,16,0,0
Virginia Beach-Norfolk-Newport News,2017-02-01,80,2,18,0,0
Wheeling,2017-02-01,86,0,14,0,0
Morgantown,2017-02-01,70,2,28,0,0
Raleigh,2017-02-01,83,1,16,0,0
Durham-Chapel Hill,2017-02-01,83,1,16,0,0
Charlotte-Concord-Gastonia,2017-02-01,79,0,20,1,0
ColumbiaSC,2017-02-01,82,1,16,0,1
Charleston-North Charleston,2017-02-01,79,2,18,0,1
Greenville-Anderson-Mauldin,2017-02-01,80,1,19,0,0
Atlanta-Sandy Springs-Roswell,2017-02-01,77,2,21,0,0
Athens-Clarke County,2017-02-01,77,3,19,0,1
Savannah,2017-02-01,78,1,20,0,1
Jacksonville,2017-02-01,76,3,21,0,0
Orlando-Kissimmee-Sanford,2017-02-01,83,1,16,0,0
Palm Bay-Melbourne-Titusville,2017-02-01,83,1,16,0,0
Miami-Fort Lauderdale-West Palm Beach,2017-02-01,76,1,22,1,0
Tampa-St. Petersburg-Clearwater,2017-02-01,80,0,18,1,1
Cape Coral-Fort Myers,2017-02-01,83,2,15,0,0
North Port-Sarasota-Bradenton,2017-02-01,80,0,18,1,1
Clarksville,2017-02-01,82,2,16,0,0
Nashville-Davidson--Murfreesboro--Franklin,2017-02-01,82,2,16,0,0
Memphis,2017-02-01,86,0,14,0,0
Lexington-Fayette,2017-02-01,84,0,16,0,0
Columbus,2017-02-01,83,1,16,0,0
Cleveland-Elyria,2017-02-01,83,1,16,0,0
Canton-Massillon,2017-02-01,83,1,16,0,0
Cincinnati,2017-02-01,82,2,16,0,0
Dayton,2017-02-01,79,2,19,0,0
Findlay,2017-02-01,88,3,9,0,0
Indianapolis-Carmel-Anderson,2017-02-01,81,1,17,0,1
Chicago-Naperville-Elgin,2017-02-01,78,1,16,0,5
Bloomington,2017-02-01,81,1,17,0,1
Detroit-Warren-Dearborn,2017-02-01,80,0,19,0,1
Dubuque,2017-02-01,77,3,19,0,1
Milwaukee-Waukesha-West Allis,2017-02-01,82,0,18,0,0
Racine,2017-02-01,82,0,18,0,0
Madison,2017-02-01,81,1,17,0,1
Manitowoc,2017-02-01,84,1,15,0,0
La Crosse-Onalaska,2017-02-01,85,3,12,0,0
Oshkosh-Neenah,2017-02-01,84,1,15,0,0
Minneapolis-St. Paul-Bloomington,2017-02-01,76,2,20,0,2
Fargo,2017-02-01,88,1,11,0,0
Helena,2017-02-01,70,0,23,0,7
Bozeman,2017-02-01,86,7,7,0,0
Missoula,2017-02-01,83,10,4,3,0
Kalispell,2017-02-01,83,10,4,3,0
Rockford,2017-02-01,80,0,19,0,1
St. Louis,2017-02-01,78,1,20,1,0
Kansas City,2017-02-01,81,2,17,0,0
Joplin,2017-02-01,74,4,22,0,0
ColumbiaMO,2017-02-01,83,0,15,0,2
Manhattan,2017-02-01,74,4,20,0,2
Topeka,2017-02-01,74,4,20,0,2
Wichita,2017-02-01,84,1,15,0,0
Little Rock-North Little Rock-Conway,2017-02-01,74,2,24,0,0
Fayetteville-Springdale-Rogers,2017-02-01,77,3,20,0,0
Oklahoma City,2017-02-01,80,1,18,0,1
Dallas-Fort Worth-Arlington,2017-02-01,78,2,20,0,0
Tyler,2017-02-01,74,2,24,0,0
Killeen-Temple,2017-02-01,78,2,19,1,0
Houston-The Woodlands-Sugar Land,2017-02-01,77,3,19,1,0
College Station-Bryan,2017-02-01,78,2,19,1,0
San Antonio-New Braunfels,2017-02-01,76,1,22,1,0
Brownsville-Harlingen,2017-02-01,83,0,16,1,0
Austin-Round Rock,2017-02-01,78,3,18,0,1
El Paso,2017-02-01,75,5,19,0,1
Denver-Aurora-Lakewood,2017-02-01,80,3,16,0,1
Boulder,2017-02-01,80,3,16,0,1
Colorado Springs,2017-02-01,81,0,17,1,1
Salt Lake City,2017-02-01,72,11,17,0,0
Ogden-Clearfield,2017-02-01,72,11,17,0,0
Phoenix-Mesa-Scottsdale,2017-02-01,77,4,18,0,1
Tucson,2017-02-01,72,2,25,0,1
Prescott,2017-02-01,77,4,18,0,1
Albuquerque,2017-02-01,78,2,20,0,0
Las Vegas-Henderson-Paradise,2017-02-01,71,2,26,0,1
Reno,2017-02-01,57,28,15,0,0
Los Angeles-Long Beach-Anaheim,2017-02-01,78,3,18,1,0
Riverside-San Bernardino-Ontario,2017-02-01,78,3,18,1,0
San Diego-Carlsbad,2017-02-01,76,5,18,1,0
Oxnard-Thousand Oaks-Ventura,2017-02-01,78,3,18,1,0
Bakersfield,2017-02-01,76,3,21,0,0
Salinas,2017-02-01,65,18,17,0,0
San Francisco-Oakland-Hayward,2017-02-01,66,20,14,0,0
San Jose-Sunnyvale-Santa Clara,2017-02-01,66,20,14,0,0
Stockton-Lodi,2017-02-01,60,25,15,0,0
Sacramento--Roseville--Arden-Arcade,2017-02-01,60,25,15,0,0
Chico,2017-02-01,55,35,10,0,0
Urban Honolulu,2017-02-01,81,3,16,0,0
Portland-Vancouver-Hillsboro,2017-02-01,80,5,14,1,0
Eugene,2017-02-01,65,9,26,0,0
Medford,2017-02-01,67,21,11,0,1
Seattle-Tacoma-Bellevue,2017-02-01,78,4,17,1,0
Spokane-Spokane Valley,2017-02-01,76,7,16,0,1
Anchorage,2017-02-01,84,4,12,0,0
Springfield,2017-03-01,82,0,18,0,0
Worcester,2017-03-01,82,0,17,0,1
Boston-Cambridge-Newton,2017-03-01,82,0,17,0,1
Providence-Warwick,2017-03-01,83,1,15,0,1
Manchester-Nashua,2017-03-01,82,0,17,0,1
Concord,2017-03-01,82,0,17,0,1
Portland-South Portland,2017-03-01,79,2,19,0,0
Lewiston-Auburn,2017-03-01,79,2,19,0,0
Bangor,2017-03-01,84,2,13,0,1
Augusta-Waterville,2017-03-01,78,0,21,0,1
Hartford-West Hartford-East Hartford,2017-03-01,84,2,14,0,0
Norwich-New London,2017-03-01,84,2,14,0,0
New Haven-Milford,2017-03-01,84,2,14,0,0
Bridgeport-Stamford-Norwalk,2017-03-01,84,2,14,0,0
Torrington,2017-03-01,84,2,14,0,0
New York-Newark-Jersey City,2017-03-01,81,1,17,1,0
Albany-Schenectady-Troy,2017-03-01,84,0,16,0,0
Kingston,2017-03-01,84,0,16,0,0
Syracuse,2017-03-01,80,0,20,0,0
Utica-Rome,2017-03-01,87,0,13,0,0
Watertown-Fort Drum,2017-03-01,82,0,16,0,2
Binghamton,2017-03-01,85,2,12,1,0
Batavia,2017-03-01,83,0,16,1,0
Buffalo-Cheektowaga-Niagara Falls,2017-03-01,83,0,16,0,1
Rochester,2017-03-01,83,0,16,1,0
Jamestown-Dunkirk-Fredonia,2017-03-01,90,0,9,1,0
Ithaca,2017-03-01,90,0,8,2,0
Pittsburgh,2017-03-01,84,1,15,0,0
Warren,2017-03-01,90,0,9,1,0
Erie,2017-03-01,90,0,9,1,0
Harrisburg-Carlisle,2017-03-01,87,1,12,0,0
Lancaster,2017-03-01,87,1,12,0,0
York-Hanover,2017-03-01,87,1,12,0,0
Williamsport,2017-03-01,83,1,16,0,0
Allentown-Bethlehem-Easton,2017-03-01,83,1,16,0,0
Philadelphia-Camden-Wilmington,2017-03-01,84,1,15,0,0
Washington-Arlington-Alexandria,2017-03-01,81,1,17,0,1
Baltimore-Columbia-Towson,2017-03-01,84,0,15,1,0
Charlottesville,2017-03-01,87,2,11,0,0
Richmond,2017-03-01,84,0,15,1,0
Virginia Beach-Norfolk-Newport News,2017-03-01,80,1,18,0,1
Wheeling,2017-03-01,76,3,20,0,1
Morgantown,2017-03-01,87,0,13,0,0
Raleigh,2017-03-01,86,1,13,0,0
Durham-Chapel Hill,2017-03-01,86,1,13,0,0
Charlotte-Concord-Gastonia,2017-03-01,82,1,17,0,0
ColumbiaSC,2017-03-01,82,0,17,0,1
Charleston-North Charleston,2017-03-01,86,0,14,0,0
Greenville-Anderson-Mauldin,2017-03-01,80,0,19,0,1
Atlanta-Sandy Springs-Roswell,2017-03-01,81,0,19,0,0
Athens-Clarke County,2017-03-01,85,1,14,0,0
Savannah,2017-03-01,79,0,20,0,1
Jacksonville,2017-03-01,80,0,18,0,2
Orlando-Kissimmee-Sanford,2017-03-01,80,1,18,0,1
Palm Bay-Melbourne-Titusville,2017-03-01,80,1,18,0,1
Miami-Fort Lauderdale-West Palm Beach,2017-03-01,76,1,22,0,1
Tampa-St. Petersburg-Clearwater,2017-03-01,80,0,18,1,1
Cape Coral-Fort Myers,2017-03-01,84,0,14,0,2
North Port-Sarasota-Bradenton,2017-03-01,80,0,18,1,1
Clarksville,2017-03-01,78,0,22,0,0
Nashville-Davidson--Murfreesboro--Franklin,2017-03-01,78,0,22,0,0
Memphis,2017-03-01,82,0,17,0,1
Lexington-Fayette,2017-03-01,83,0,17,0,0
Columbus,2017-03-01,80,0,17,1,2
Cleveland-Elyria,2017-03-01,83,0,16,0,1
Canton-Massillon,2017-03-01,83,0,16,0,1
Cincinnati,2017-03-01,80,1,19,0,0
Dayton,2017-03-01,82,0,16,2,0
Findlay,2017-03-01,85,0,15,0,0
Indianapolis-Carmel-Anderson,2017-03-01,80,1,18,0,1
Chicago-Naperville-Elgin,2017-03-01,78,1,18,0,3
Bloomington,2017-03-01,80,1,18,0,1
Detroit-Warren-Dearborn,2017-03-01,77,1,21,0,1
Dubuque,2017-03-01,79,2,18,0,1
Milwaukee-Waukesha-West Allis,2017-03-01,78,1,21,0,0
Racine,2017-03-01,78,1,21,0,0
Madison,2017-03-01,81,0,18,1,0
Manitowoc,2017-03-01,79,1,19,0,1
La Crosse-Onalaska,2017-03-01,74,2,24,0,0
Oshkosh-Neenah,2017-03-01,79,1,19,0,1
Minneapolis-St. Paul-Bloomington,2017-03-01,79,1,18,0,2
Fargo,2017-03-01,80,1,18,0,1
Helena,2017-03-01,91,0,9,0,0
Bozeman,2017-03-01,78,1,20,0,1
Missoula,2017-03-01,85,4,10,0,1
Kalispell,2017-03-01,85,4,10,0,1
Rockford,2017-03-01,82,0,16,0,2
St. Louis,2017-03-01,78,0,21,1,0
Kansas City,2017-03-01,83,0,14,0,3
Joplin,2017-03-01,80,1,16,1,2
ColumbiaMO,2017-03-01,84,1,13,2,0
Manhattan,2017-03-01,86,2,12,0,0
Topeka,2017-03-01,86,2,12,0,0
Wichita,2017-03-01,80,0,14,0,6
Little Rock-North Little Rock-Conway,2017-03-01,80,1,17,0,2
Fayetteville-Springdale-Rogers,2017-03-01,79,1,20,0,0
Oklahoma City,2017-03-01,81,0,15,0,4
Dallas-Fort Worth-Arlington,2017-03-01,78,0,20,1,1
Tyler,2017-03-01,77,0,21,0,2
Killeen-Temple,2017-03-01,78,0,20,2,0
Houston-The Woodlands-Sugar Land,2017-03-01,74,2,22,1,1
College Station-Bryan,2017-03-01,78,0,20,2,0
San Antonio-New Braunfels,2017-03-01,74,0,25,0,1
Brownsville-Harlingen,2017-03-01,75,2,21,2,0
Austin-Round Rock,2017-03-01,77,1,20,0,2
El Paso,2017-03-01,67,2,30,1,0
Denver-Aurora-Lakewood,2017-03-01,81,0,16,0,3
Boulder,2017-03-01,81,0,16,0,3
Colorado Springs,2017-03-01,76,0,18,4,2
Salt Lake City,2017-03-01,76,2,22,0,0
Ogden-Clearfield,2017-03-01,76,2,22,0,0
Phoenix-Mesa-Scottsdale,2017-03-01,72,1,25,1,1
Tucson,2017-03-01,68,1,30,0,1
Prescott,2017-03-01,72,1,25,1,1
Albuquerque,2017-03-01,74,1,24,0,1
Las Vegas-Henderson-Paradise,2017-03-01,68,1,29,1,1
Reno,2017-03-01,71,4,24,0,1
Los Angeles-Long Beach-Anaheim,2017-03-01,77,1,21,1,0
Riverside-San Bernardino-Ontario,2017-03-01,77,1,21,1,0
San Diego-Carlsbad,2017-03-01,79,1,19,0,1
Oxnard-Thousand Oaks-Ventura,2017-03-01,77,1,21,1,0
Bakersfield,2017-03-01,80,0,20,0,0
Salinas,2017-03-01,84,0,16,0,0
San Francisco-Oakland-Hayward,2017-03-01,79,2,19,0,0
San Jose-Sunnyvale-Santa Clara,2017-03-01,79,2,19,0,0
Stockton-Lodi,2017-03-01,78,2,20,0,0
Sacramento--Roseville--Arden-Arcade,2017-03-01,78,2,20,0,0
Chico,2017-03-01,82,0,16,0,2
Urban Honolulu,2017-03-01,78,3,18,0,1
Portland-Vancouver-Hillsboro,2017-03-01,79,3,17,1,0
Eugene,2017-03-01,84,1,15,0,0
Medford,2017-03-01,70,3,26,0,1
Seattle-Tacoma-Bellevue,2017-03-01,79,1,19,0,1
Spokane-Spokane Valley,2017-03-01,72,11,16,1,0
Anchorage,2017-03-01,75,0,25,0,0
Springfield,2017-04-01,78,0,22,0,0
Worcester,2017-04-01,79,1,19,1,0
Boston-Cambridge-Newton,2017-04-01,79,1,19,1,0
Providence-Warwick,2017-04-01,79,2,19,0,0
Manchester-Nashua,2017-04-01,79,1,19,1,0
Concord,2017-04-01,79,1,19,1,0
Portland-South Portland,2017-04-01,83,1,15,0,1
Lewiston-Auburn,2017-04-01,83,1,15,0,1
Bangor,2017-04-01,88,0,12,0,0
Augusta-Waterville,2017-04-01,81,0,18,0,1
Hartford-West Hartford-East Hartford,2017-04-01,81,1,17,1,0
Norwich-New London,2017-04-01,81,1,17,1,0
New Haven-Milford,2017-04-01,81,1,17,1,0
Bridgeport-Stamford-Norwalk,2017-04-01,81,1,17,1,0
Torrington,2017-04-01,81,1,17,1,0
New York-Newark-Jersey City,2017-04-01,79,1,18,2,0
Albany-Schenectady-Troy,2017-04-01,84,0,15,0,1
Kingston,2017-04-01,84,0,15,0,1
Syracuse,2017-04-01,82,2,16,0,0
Utica-Rome,2017-04-01,91,0,9,0,0
Watertown-Fort Drum,2017-04-01,80,0,20,0,0
Binghamton,2017-04-01,84,1,14,0,1
Batavia,2017-04-01,76,5,17,2,0
Buffalo-Cheektowaga-Niagara Falls,2017-04-01,80,3,17,0,0
Rochester,2017-04-01,76,5,17,2,0
Jamestown-Dunkirk-Fredonia,2017-04-01,83,1,14,0,2
Ithaca,2017-04-01,74,1,25,0,0
Pittsburgh,2017-04-01,82,0,18,0,0
Warren,2017-04-01,83,1,14,0,2
Erie,2017-04-01,83,1,14,0,2
Harrisburg-Carlisle,2017-04-01,85,0,14,0,1
Lancaster,2017-04-01,85,0,14,0,1
York-Hanover,2017-04-01,85,0,14,0,1
Williamsport,2017-04-01,85,1,14,0,0
Allentown-Bethlehem-Easton,2017-04-01,85,1,14,0,0
Philadelphia-Camden-Wilmington,2017-04-01,82,0,17,1,0
Washington-Arlington-Alexandria,2017-04-01,81,1,16,1,1
Baltimore-Columbia-Towson,2017-04-01,81,1,18,0,0
Charlottesville,2017-04-01,75,5,20,0,0
Richmond,2017-04-01,79,2,19,0,0
Virginia Beach-Norfolk-Newport News,2017-04-01,77,2,20,0,1
Wheeling,2017-04-01,79,2,17,0,2
Morgantown,2017-04-01,78,4,18,0,0
Raleigh,2017-04-01,73,8,18,0,1
Durham-Chapel Hill,2017-04-01,73,8,18,0,1
Charlotte-Concord-Gastonia,2017-04-01,75,2,23,0,0
ColumbiaSC,2017-04-01,80,1,17,0,2
Charleston-North Charleston,2017-04-01,79,3,17,1,0
Greenville-Anderson-Mauldin,2017-04-01,74,1,23,1,1
Atlanta-Sandy Springs-Roswell,2017-04-01,78,1,20,1,0
Athens-Clarke County,2017-04-01,80,0,17,2,1
Savannah,2017-04-01,80,2,17,1,0
Jacksonville,2017-04-01,75,1,22,0,2
Orlando-Kissimmee-Sanford,2017-04-01,80,1,17,0,2
Palm Bay-Melbourne-Titusville,2017-04-01,80,1,17,0,2
Miami-Fort Lauderdale-West Palm Beach,2017-04-01,76,1,22,1,0
Tampa-St. Petersburg-Clearwater,2017-04-01,79,0,18,1,2
Cape Coral-Fort Myers,2017-04-01,83,0,10,0,7
North Port-Sarasota-Bradenton,2017-04-01,79,0,18,1,2
Clarksville,2017-04-01,76,4,20,0,0
Nashville-Davidson--Murfreesboro--Franklin,2017-04-01,76,4,20,0,0
Memphis,2017-04-01,74,7,19,0,0
Lexington-Fayette,2017-04-01,80,2,18,0,0
Columbus,2017-04-01,79,0,20,1,0
Cleveland-Elyria,2017-04-01,79,4,17,0,0
Canton-Massillon,2017-04-01,79,4,17,0,0
Cincinnati,2017-04-01,82,2,16,0,0
Dayton,2017-04-01,79,0,21,0,0
Findlay,2017-04-01,91,3,6,0,0
Indianapolis-Carmel-Anderson,2017-04-01,79,2,18,0,1
Chicago-Naperville-Elgin,2017-04-01,77,3,17,0,3
Bloomington,2017-04-01,79,2,18,0,1
Detroit-Warren-Dearborn,2017-04-01,77,1,21,0,1
Dubuque,2017-04-01,77,4,19,0,0
Milwaukee-Waukesha-West Allis,2017-04-01,80,0,20,0,0
Racine,2017-04-01,80,0,20,0,0
Madison,2017-04-01,82,2,16,0,0
Manitowoc,2017-04-01,80,1,17,2,0
La Crosse-Onalaska,2017-04-01,75,0,23,0,2
Oshkosh-Neenah,2017-04-01,80,1,17,2,0
Minneapolis-St. Paul-Bloomington,2017-04-01,77,1,20,0,2
Fargo,2017-04-01,78,1,21,0,0
Helena,2017-04-01,85,0,7,0,8
Bozeman,2017-04-01,77,0,23,0,0
Missoula,2017-04-01,68,1,28,0,3
Kalispell,2017-04-01,68,1,28,0,3
Rockford,2017-04-01,87,0,12,0,1
St. Louis,2017-04-01,65,15,19,0,1
Kansas City,2017-04-01,74,5,21,0,0
Joplin,2017-04-01,63,20,16,0,1
