Metro,datetime,term_techno,term_Techno
Austin-Round Rock,2014-03-01,50,50
El Paso,2014-03-01,0,0
Denver-Aurora-Lakewood,2014-03-01,50,50
Boulder,2014-03-01,50,50
Colorado Springs,2014-03-01,50,50
Salt Lake City,2014-03-01,50,50
Ogden-Clearfield,2014-03-01,50,50
Phoenix-Mesa-Scottsdale,2014-03-01,50,50
Tucson,2014-03-01,50,50
Prescott,2014-03-01,50,50
Albuquerque,2014-03-01,50,50
Las Vegas-Henderson-Paradise,2014-03-01,50,50
Reno,2014-03-01,50,50
Los Angeles-Long Beach-Anaheim,2014-03-01,50,50
Riverside-San Bernardino-Ontario,2014-03-01,50,50
San Diego-Carlsbad,2014-03-01,50,50
Oxnard-Thousand Oaks-Ventura,2014-03-01,50,50
Bakersfield,2014-03-01,50,50
Salinas,2014-03-01,50,50
San Francisco-Oakland-Hayward,2014-03-01,50,50
San Jose-Sunnyvale-Santa Clara,2014-03-01,50,50
Stockton-Lodi,2014-03-01,50,50
Sacramento--Roseville--Arden-Arcade,2014-03-01,50,50
Chico,2014-03-01,0,0
Urban Honolulu,2014-03-01,50,50
Portland-Vancouver-Hillsboro,2014-03-01,50,50
Eugene,2014-03-01,0,0
Medford,2014-03-01,50,50
Seattle-Tacoma-Bellevue,2014-03-01,50,50
Spokane-Spokane Valley,2014-03-01,0,0
Anchorage,2014-03-01,50,50
Springfield,2014-04-01,50,50
Worcester,2014-04-01,50,50
Boston-Cambridge-Newton,2014-04-01,50,50
Providence-Warwick,2014-04-01,50,50
Manchester-Nashua,2014-04-01,50,50
Concord,2014-04-01,50,50
Portland-South Portland,2014-04-01,50,50
Lewiston-Auburn,2014-04-01,50,50
Bangor,2014-04-01,0,0
Augusta-Waterville,2014-04-01,50,50
Hartford-West Hartford-East Hartford,2014-04-01,50,50
Norwich-New London,2014-04-01,50,50
New Haven-Milford,2014-04-01,50,50
Bridgeport-Stamford-Norwalk,2014-04-01,50,50
Torrington,2014-04-01,50,50
New York-Newark-Jersey City,2014-04-01,50,50
Albany-Schenectady-Troy,2014-04-01,50,50
Kingston,2014-04-01,50,50
Syracuse,2014-04-01,50,50
Utica-Rome,2014-04-01,0,0
Watertown-Fort Drum,2014-04-01,0,0
Binghamton,2014-04-01,0,0
Batavia,2014-04-01,0,0
Buffalo-Cheektowaga-Niagara Falls,2014-04-01,50,50
Rochester,2014-04-01,0,0
Jamestown-Dunkirk-Fredonia,2014-04-01,50,50
Ithaca,2014-04-01,0,0
Pittsburgh,2014-04-01,50,50
Warren,2014-04-01,50,50
Erie,2014-04-01,50,50
Harrisburg-Carlisle,2014-04-01,50,50
Lancaster,2014-04-01,50,50
York-Hanover,2014-04-01,50,50
