zip,RMSE_train,RMSE_test,RMSE_pure,forecast
2124,19.29914408769055,20.66972528835728,155.78947109722787,"[0.40987702 0.40701946 0.40420921 0.3874346  0.36871458 0.36889078
 0.36765845 0.37717442 0.38126874 0.39589538 0.41337046 0.42641802]"
2125,20.37225182075734,25.336112460953355,257.28751791529663,"[0.43309324 0.42510128 0.39590596 0.34643539 0.28849081 0.25613592
 0.22043079 0.21478018 0.20639808 0.20558775 0.22541556 0.21814173]"
2126,23.64819958996406,20.828392771203163,196.88510660034075,"[0.38109051 0.38344282 0.3864516  0.36896074 0.35210828 0.35460909
 0.36335909 0.38567145 0.40285809 0.4234223  0.44617706 0.45324782]"
2127,24.29760019204351,42.76242365691302,157.4241044528825,"[0.62886336 0.64514965 0.64530634 0.61778655 0.58831171 0.54980807
 0.52156312 0.4962576  0.47324588 0.45557008 0.44497714 0.40991969]"
2128,17.308891458990413,36.15728685557919,287.77371175195617,"[0.4663007  0.44377569 0.4019186  0.33073273 0.26388726 0.22066043
 0.17644194 0.14304008 0.11949078 0.10936916 0.10095066 0.08440336]"
2129,25.34343448147474,40.80526416403419,144.45466603595042,"[0.62062896 0.64513877 0.64502535 0.61569968 0.58247266 0.54403349
 0.51132214 0.48408999 0.45829792 0.43783296 0.40970906 0.35698535]"
2130,22.704031547564007,27.925344761937357,264.7998331043845,"[0.3371979  0.32899609 0.31749179 0.2861918  0.25619947 0.25063796
 0.23797875 0.23931404 0.23993953 0.23864168 0.23894943 0.22854834]"
2131,26.223975822447414,39.24016756776002,285.7990632261239,"[0.44546793 0.43671815 0.41252508 0.36446524 0.31686341 0.29279024
 0.27220732 0.26906152 0.27152076 0.27257901 0.27582168 0.27129902]"
2132,24.78854583079094,41.40443744717083,300.25369502002127,"[0.47963051 0.48898395 0.47656046 0.43614326 0.39349888 0.36587892
 0.33603185 0.32217258 0.30618043 0.29981568 0.29136047 0.28488075]"
2134,15.22010605384142,34.54120228785659,119.0387538521291,"[0.25104709 0.19734917 0.15997864 0.12782789 0.11977583 0.14018602
 0.14693471 0.16789571 0.17930076 0.18814722 0.1948866  0.18116309]"
2135,17.785180721593797,31.738486062709907,128.7703396564001,"[0.54542788 0.5462437  0.55971032 0.54517425 0.53458111 0.52803403
 0.53304755 0.5342943  0.5253469  0.51417048 0.52319109 0.50634478]"
2136,29.645322353314214,29.168147218619485,184.47647669681052,"[0.40980697 0.43972934 0.46190801 0.47305778 0.49605189 0.52502929
 0.5599734  0.58733137 0.61234118 0.625099   0.64332681 0.63355305]"
2138,15.966380957070267,30.35267558184936,122.63488936812863,"[0.53203633 0.52399476 0.50783799 0.47108385 0.45357909 0.43621757
 0.43839187 0.44175767 0.45872544 0.45834006 0.45965111 0.45298411]"
2139,15.592565728364166,35.159733410722204,214.874798387546,"[0.38456577 0.34252674 0.30163862 0.24983916 0.21276086 0.20429963
 0.19587069 0.18978044 0.19786462 0.20947781 0.21145169 0.1984157 ]"
2140,18.86502440844177,37.584242272424646,164.6181733115351,"[0.46076583 0.44301971 0.43110903 0.3845187  0.35602227 0.34552598
 0.34725559 0.35890133 0.37678129 0.38683422 0.40327423 0.4046054 ]"
2141,18.335854977069502,36.970844983817535,180.95963823462026,"[0.24453991 0.21161218 0.18229397 0.14805618 0.12110449 0.12696514
 0.11666504 0.12485463 0.13598004 0.15243957 0.16144065 0.14260071]"
2143,19.1750430586885,34.430650438527366,216.41370639881754,"[0.42162962 0.37241493 0.32831591 0.26205359 0.20815954 0.18840755
 0.16810947 0.16006627 0.16152877 0.15861538 0.16026666 0.13788886]"
2144,20.54506436254469,36.39146661663866,221.7392738941071,"[0.48188524 0.4584305  0.42187639 0.35885285 0.29793304 0.26012997
 0.2256813  0.21092831 0.20793077 0.20302144 0.19217254 0.16157833]"
2145,19.971601438266752,27.769004393979063,168.42760600863494,"[0.47705268 0.43424644 0.38173981 0.30862538 0.24869567 0.21904572
 0.20049759 0.20365898 0.2246563  0.23821064 0.24417398 0.23997192]"
2148,17.756610998955615,19.418400232118902,88.94530582944046,"[0.52024017 0.49296057 0.4911996  0.479021   0.48132712 0.50666995
 0.53294568 0.55883336 0.5908049  0.62319969 0.66215908 0.66687969]"
2149,20.701816549233616,27.506789003903563,147.9302153056864,"[0.64195492 0.58284912 0.52672318 0.46883106 0.41831777 0.38360756
 0.35445124 0.33893368 0.32266756 0.31094048 0.30709681 0.29125063]"
2150,22.33906036464527,30.94738973020818,90.94067338280692,"[0.52214428 0.5703117  0.6011826  0.6059333  0.60977477 0.60940467
 0.61519665 0.61520554 0.62125561 0.61401382 0.61565931 0.58551508]"
