Metro,datetime,isPartial,Job opportunities,Unemployment,Retirement,Layoff,Starbucks,rel_pop_Job opportunities,rel_pop_Unemployment,rel_pop_Retirement,rel_pop_Layoff,rel_pop_Starbucks
Worcester,2014-08-01,False,80.0,49.0,59.09090909090909,66.66666666666667,59.770114942528735,5.0,100.0,44.0,3.0,87.0
Worcester,2014-09-01,False,80.0,44.0,59.09090909090909,33.333333333333336,57.47126436781609,5.0,100.0,44.0,3.0,87.0
Worcester,2014-10-01,False,80.0,39.0,56.81818181818182,33.333333333333336,52.87356321839081,5.0,100.0,44.0,3.0,87.0
Worcester,2014-11-01,False,60.0,45.0,54.54545454545455,33.333333333333336,67.816091954023,5.0,100.0,44.0,3.0,87.0
Worcester,2014-12-01,False,40.0,51.0,59.09090909090909,33.333333333333336,67.816091954023,5.0,100.0,44.0,3.0,87.0
Worcester,2015-01-01,False,40.0,60.0,63.63636363636363,33.333333333333336,58.62068965517241,5.0,100.0,44.0,3.0,87.0
Worcester,2015-02-01,False,80.0,57.0,61.36363636363637,33.333333333333336,56.32183908045977,5.0,100.0,44.0,3.0,87.0
Worcester,2015-03-01,False,60.0,44.0,88.63636363636364,0.0,59.770114942528735,5.0,100.0,44.0,3.0,87.0
Worcester,2015-04-01,False,40.0,41.0,88.63636363636364,33.333333333333336,63.2183908045977,5.0,100.0,44.0,3.0,87.0
Worcester,2015-05-01,False,60.0,38.0,70.45454545454545,33.333333333333336,63.2183908045977,5.0,100.0,44.0,3.0,87.0
Worcester,2015-06-01,False,60.0,37.0,81.81818181818181,33.333333333333336,56.32183908045977,5.0,100.0,44.0,3.0,87.0
Worcester,2015-07-01,False,60.0,43.0,68.18181818181819,33.333333333333336,54.02298850574713,5.0,100.0,44.0,3.0,87.0
Worcester,2015-08-01,False,60.0,36.0,59.09090909090909,66.66666666666667,55.172413793103445,5.0,100.0,44.0,3.0,87.0
Worcester,2015-09-01,False,40.0,37.0,59.09090909090909,33.333333333333336,52.87356321839081,5.0,100.0,44.0,3.0,87.0
Worcester,2015-10-01,False,60.0,32.0,56.81818181818182,33.333333333333336,60.91954022988506,5.0,100.0,44.0,3.0,87.0
Worcester,2015-11-01,False,60.0,41.0,54.54545454545455,33.333333333333336,90.80459770114942,5.0,100.0,44.0,3.0,87.0
