Metro,datetime,isPartial,Getaway,Places to go,Tourists attraction,Flight tickets,Starbucks,rel_pop_Getaway,rel_pop_Places to go,rel_pop_Tourists attraction,rel_pop_Flight tickets,rel_pop_Starbucks
Worcester,2018-03-01,False,44.44444444444444,58.333333333333336,,50.0,63.0,9.0,12.0,0.0,4.0,100.0
Worcester,2018-04-01,False,66.66666666666667,58.333333333333336,,50.0,88.0,9.0,12.0,0.0,4.0,100.0
Worcester,2018-05-01,False,55.55555555555556,75.0,,50.0,73.0,9.0,12.0,0.0,4.0,100.0
Worcester,2018-06-01,False,77.77777777777777,66.66666666666667,,75.0,69.0,9.0,12.0,0.0,4.0,100.0
Worcester,2018-07-01,False,88.88888888888889,83.33333333333333,,50.0,74.0,9.0,12.0,0.0,4.0,100.0
Worcester,2018-08-01,False,77.77777777777777,66.66666666666667,,75.0,75.0,9.0,12.0,0.0,4.0,100.0
Worcester,2018-09-01,False,66.66666666666667,58.333333333333336,,50.0,72.0,9.0,12.0,0.0,4.0,100.0
Worcester,2018-10-01,False,66.66666666666667,58.333333333333336,,50.0,64.0,9.0,12.0,0.0,4.0,100.0
Worcester,2018-11-01,False,66.66666666666667,58.333333333333336,,50.0,75.0,9.0,12.0,0.0,4.0,100.0
Worcester,2018-12-01,False,77.77777777777777,58.333333333333336,,75.0,84.0,9.0,12.0,0.0,4.0,100.0
Worcester,2019-01-01,False,100.0,58.333333333333336,,50.0,67.0,9.0,12.0,0.0,4.0,100.0
Worcester,2019-02-01,False,88.88888888888889,100.0,,75.0,69.0,9.0,12.0,0.0,4.0,100.0
Worcester,2019-03-01,False,77.77777777777777,83.33333333333333,,75.0,67.0,9.0,12.0,0.0,4.0,100.0
Worcester,2019-04-01,False,77.77777777777777,58.333333333333336,,75.0,76.0,9.0,12.0,0.0,4.0,100.0
Worcester,2019-05-01,False,55.55555555555556,83.33333333333333,,50.0,100.0,9.0,12.0,0.0,4.0,100.0
Worcester,2019-06-01,False,100.0,75.0,,75.0,79.0,9.0,12.0,0.0,4.0,100.0
Worcester,2019-07-01,False,88.88888888888889,66.66666666666667,,75.0,85.0,9.0,12.0,0.0,4.0,100.0
Worcester,2019-08-01,False,66.66666666666667,75.0,,50.0,82.0,9.0,12.0,0.0,4.0,100.0
Worcester,2019-09-01,False,88.88888888888889,41.666666666666664,,50.0,85.0,9.0,12.0,0.0,4.0,100.0
Worcester,2019-10-01,False,77.77777777777777,58.333333333333336,,75.0,75.0,9.0,12.0,0.0,4.0,100.0
Worcester,2019-11-01,False,77.77777777777777,58.333333333333336,,50.0,96.0,9.0,12.0,0.0,4.0,100.0
Worcester,2019-12-01,False,100.0,66.66666666666667,,50.0,87.0,9.0,12.0,0.0,4.0,100.0
Worcester,2020-01-01,False,100.0,58.333333333333336,,50.0,81.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2014-01-01,False,55.55555555555556,33.333333333333336,,50.0,52.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2014-02-01,False,66.66666666666667,41.666666666666664,,50.0,48.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2014-03-01,False,44.44444444444444,41.666666666666664,,50.0,53.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2014-04-01,False,55.55555555555556,41.666666666666664,,25.0,51.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2014-05-01,False,55.55555555555556,41.666666666666664,,75.0,62.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2014-06-01,False,55.55555555555556,58.333333333333336,,75.0,53.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2014-07-01,False,66.66666666666667,58.333333333333336,,50.0,59.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2014-08-01,False,77.77777777777777,58.333333333333336,,25.0,59.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2014-09-01,False,44.44444444444444,33.333333333333336,,75.0,52.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2014-10-01,False,33.333333333333336,41.666666666666664,,50.0,55.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2014-11-01,False,44.44444444444444,25.0,,50.0,67.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2014-12-01,False,44.44444444444444,41.666666666666664,,75.0,68.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2015-01-01,False,77.77777777777777,50.0,,50.0,55.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2015-02-01,False,44.44444444444444,16.666666666666668,,75.0,55.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2015-03-01,False,44.44444444444444,41.666666666666664,,75.0,49.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2015-04-01,False,44.44444444444444,41.666666666666664,,50.0,67.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2015-05-01,False,55.55555555555556,50.0,,50.0,61.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2015-06-01,False,44.44444444444444,50.0,,75.0,54.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2015-07-01,False,55.55555555555556,58.333333333333336,,50.0,54.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2015-08-01,False,55.55555555555556,75.0,,25.0,58.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2015-09-01,False,55.55555555555556,50.0,,50.0,59.0,9.0,12.0,0.0,4.0,100.0
