Metro,datetime,isPartial,condos for rent,duplex apartments for rent,townhomes for rent,townhouses for rent,starbucks,rel_pop_condos for rent,rel_pop_duplex apartments for rent,rel_pop_townhomes for rent,rel_pop_townhouses for rent,rel_pop_starbucks
Boston-Cambridge-Newton,2015-11-01,False,40.0,,100.0,100.0,90.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2015-12-01,False,20.0,,0.0,0.0,72.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2016-01-01,False,100.0,,100.0,0.0,64.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2016-02-01,False,80.0,,0.0,100.0,56.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2016-03-01,False,80.0,,100.0,100.0,57.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2016-04-01,False,80.0,,100.0,0.0,63.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2016-05-01,False,60.0,,100.0,100.0,68.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2016-06-01,False,100.0,,0.0,100.0,72.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2016-07-01,False,80.0,,100.0,100.0,79.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2016-08-01,False,80.0,,100.0,0.0,69.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2016-09-01,False,40.0,,100.0,100.0,62.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2016-10-01,False,40.0,,0.0,0.0,61.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2016-11-01,False,60.0,,0.0,0.0,77.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2016-12-01,False,40.0,,0.0,0.0,82.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2017-01-01,False,80.0,,100.0,100.0,63.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2017-02-01,False,100.0,,100.0,100.0,65.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2017-03-01,False,80.0,,0.0,100.0,58.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2017-04-01,False,80.0,,0.0,100.0,88.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2017-05-01,False,80.0,,100.0,0.0,69.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2017-06-01,False,100.0,,100.0,100.0,68.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2017-07-01,False,60.0,,100.0,0.0,70.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2017-08-01,False,40.0,,0.0,100.0,64.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2017-09-01,False,60.0,,100.0,0.0,66.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2017-10-01,False,60.0,,0.0,100.0,60.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2017-11-01,False,40.0,,0.0,100.0,79.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2017-12-01,False,60.0,,0.0,0.0,85.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2018-01-01,False,40.0,,100.0,0.0,64.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2018-02-01,False,60.0,,0.0,100.0,57.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2018-03-01,False,60.0,,0.0,100.0,69.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2018-04-01,False,80.0,,100.0,100.0,82.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2018-05-01,False,80.0,,0.0,0.0,75.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2018-06-01,False,60.0,,100.0,100.0,71.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2018-07-01,False,60.0,,0.0,100.0,74.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2018-08-01,False,80.0,,100.0,0.0,74.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2018-09-01,False,60.0,,0.0,0.0,71.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2018-10-01,False,80.0,,0.0,0.0,67.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2018-11-01,False,60.0,,0.0,0.0,73.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2018-12-01,False,60.0,,0.0,0.0,80.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2019-01-01,False,60.0,,100.0,0.0,71.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2019-02-01,False,80.0,,100.0,100.0,67.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2019-03-01,False,80.0,,100.0,0.0,71.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2019-04-01,False,80.0,,100.0,100.0,74.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2019-05-01,False,40.0,,0.0,0.0,100.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2019-06-01,False,80.0,,100.0,0.0,79.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2019-07-01,False,60.0,,100.0,100.0,83.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2019-08-01,False,60.0,,100.0,0.0,82.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2019-09-01,False,60.0,,100.0,0.0,83.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2019-10-01,False,60.0,,0.0,0.0,72.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2019-11-01,False,40.0,,100.0,0.0,91.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2019-12-01,False,60.0,,100.0,0.0,90.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2020-01-01,False,60.0,,100.0,100.0,72.0,5.0,0.0,1.0,1.0,100.0
Providence-Warwick,2014-01-01,False,100.0,,0.0,25.0,58.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2014-02-01,False,61.111111111111114,,0.0,25.0,47.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2014-03-01,False,61.111111111111114,,25.0,50.0,39.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2014-04-01,False,50.0,,25.0,100.0,54.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2014-05-01,False,22.22222222222222,,0.0,100.0,59.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2014-06-01,False,27.77777777777778,,0.0,0.0,49.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2014-07-01,False,61.111111111111114,,50.0,75.0,48.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2014-08-01,False,94.44444444444444,,0.0,0.0,44.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2014-09-01,False,27.77777777777778,,75.0,0.0,60.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2014-10-01,False,22.22222222222222,,0.0,0.0,55.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2014-11-01,False,33.333333333333336,,25.0,0.0,78.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2014-12-01,False,16.666666666666668,,0.0,0.0,73.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2015-01-01,False,22.22222222222222,,0.0,0.0,45.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2015-02-01,False,50.0,,25.0,0.0,53.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2015-03-01,False,50.0,,100.0,0.0,59.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2015-04-01,False,27.77777777777778,,25.0,100.0,77.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2015-05-01,False,44.44444444444444,,0.0,25.0,57.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2015-06-01,False,55.55555555555556,,25.0,75.0,62.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2015-07-01,False,55.55555555555556,,0.0,0.0,67.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2015-08-01,False,16.666666666666668,,0.0,0.0,52.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2015-09-01,False,38.888888888888886,,0.0,0.0,46.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2015-10-01,False,22.22222222222222,,0.0,0.0,62.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2015-11-01,False,27.77777777777778,,0.0,0.0,87.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2015-12-01,False,22.22222222222222,,25.0,0.0,77.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2016-01-01,False,44.44444444444444,,0.0,25.0,54.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2016-02-01,False,66.66666666666667,,0.0,25.0,47.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2016-03-01,False,16.666666666666668,,0.0,0.0,42.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2016-04-01,False,50.0,,0.0,25.0,49.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2016-05-01,False,22.22222222222222,,25.0,0.0,57.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2016-06-01,False,50.0,,0.0,25.0,53.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2016-07-01,False,55.55555555555556,,0.0,0.0,62.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2016-08-01,False,50.0,,25.0,25.0,69.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2016-09-01,False,22.22222222222222,,0.0,0.0,56.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2016-10-01,False,11.11111111111111,,0.0,0.0,51.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2016-11-01,False,33.333333333333336,,0.0,0.0,77.0,18.0,0.0,4.0,4.0,100.0
Providence-Warwick,2016-12-01,False,11.11111111111111,,0.0,0.0,68.0,18.0,0.0,4.0,4.0,100.0
