Metro,datetime,isPartial,Twitter,Hashtag,Tender Age Shelter,Fake News,Starbucks,rel_pop_Twitter,rel_pop_Hashtag,rel_pop_Tender Age Shelter,rel_pop_Fake News,rel_pop_Starbucks
Springfield,2019-06-01,False,47.0,50.0,,0.0,63.63636363636363,100.0,2.0,0.0,3.0,22.0
Springfield,2019-07-01,False,59.0,0.0,,0.0,86.36363636363636,100.0,2.0,0.0,3.0,22.0
Springfield,2019-08-01,False,59.0,0.0,,0.0,81.81818181818181,100.0,2.0,0.0,3.0,22.0
Springfield,2019-09-01,False,54.0,50.0,,0.0,54.54545454545455,100.0,2.0,0.0,3.0,22.0
Springfield,2019-10-01,False,58.0,0.0,,33.333333333333336,59.09090909090909,100.0,2.0,0.0,3.0,22.0
Springfield,2019-11-01,False,51.0,50.0,,33.333333333333336,45.45454545454545,100.0,2.0,0.0,3.0,22.0
Springfield,2019-12-01,False,59.0,0.0,,33.333333333333336,68.18181818181819,100.0,2.0,0.0,3.0,22.0
Springfield,2020-01-01,False,60.0,0.0,,0.0,81.81818181818181,100.0,2.0,0.0,3.0,22.0
Worcester,2014-01-01,False,99.0,50.0,,0.0,51.851851851851855,100.0,2.0,0.0,2.0,27.0
Worcester,2014-02-01,False,100.0,100.0,,0.0,51.851851851851855,100.0,2.0,0.0,2.0,27.0
Worcester,2014-03-01,False,95.0,50.0,,0.0,51.851851851851855,100.0,2.0,0.0,2.0,27.0
Worcester,2014-04-01,False,90.0,50.0,,0.0,55.55555555555556,100.0,2.0,0.0,2.0,27.0
Worcester,2014-05-01,False,94.0,50.0,,0.0,62.96296296296296,100.0,2.0,0.0,2.0,27.0
Worcester,2014-06-01,False,90.0,50.0,,0.0,59.25925925925926,100.0,2.0,0.0,2.0,27.0
Worcester,2014-07-01,False,92.0,50.0,,0.0,55.55555555555556,100.0,2.0,0.0,2.0,27.0
Worcester,2014-08-01,False,93.0,50.0,,0.0,59.25925925925926,100.0,2.0,0.0,2.0,27.0
Worcester,2014-09-01,False,90.0,50.0,,0.0,55.55555555555556,100.0,2.0,0.0,2.0,27.0
Worcester,2014-10-01,False,90.0,50.0,,0.0,51.851851851851855,100.0,2.0,0.0,2.0,27.0
