Metro,datetime,isPartial,Gun range,Gun licence,Gun control,Gun violence,Starbucks,rel_pop_Gun range,rel_pop_Gun licence,rel_pop_Gun control,rel_pop_Gun violence,rel_pop_Starbucks
Boston-Cambridge-Newton,2015-07-01,False,40.0,0.0,13.333333333333334,0.0,54.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2015-08-01,False,40.0,0.0,13.333333333333334,12.5,58.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2015-09-01,False,40.0,0.0,6.666666666666667,12.5,59.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2015-10-01,False,20.0,0.0,60.0,75.0,58.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2015-11-01,False,100.0,0.0,33.333333333333336,12.5,90.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2015-12-01,False,100.0,0.0,60.0,37.5,76.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2016-01-01,False,60.0,100.0,80.0,25.0,62.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2016-02-01,False,60.0,0.0,26.666666666666668,12.5,55.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2016-03-01,False,80.0,0.0,20.0,12.5,61.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2016-04-01,False,80.0,0.0,13.333333333333334,12.5,60.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2016-05-01,False,40.0,0.0,13.333333333333334,0.0,65.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2016-06-01,False,60.0,0.0,100.0,37.5,74.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2016-07-01,False,80.0,0.0,20.0,12.5,73.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2016-08-01,False,80.0,0.0,6.666666666666667,0.0,69.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2016-09-01,False,60.0,0.0,13.333333333333334,12.5,59.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2016-10-01,False,40.0,0.0,33.333333333333336,12.5,61.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2016-11-01,False,40.0,0.0,20.0,12.5,78.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2016-12-01,False,80.0,0.0,13.333333333333334,25.0,79.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2017-01-01,False,60.0,0.0,13.333333333333334,12.5,67.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2017-02-01,False,60.0,0.0,20.0,12.5,66.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2017-03-01,False,80.0,0.0,13.333333333333334,12.5,61.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2017-04-01,False,60.0,0.0,6.666666666666667,12.5,85.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2017-05-01,False,40.0,0.0,6.666666666666667,0.0,71.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2017-06-01,False,40.0,0.0,6.666666666666667,12.5,70.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2017-07-01,False,60.0,0.0,6.666666666666667,0.0,72.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2017-08-01,False,40.0,0.0,0.0,12.5,71.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2017-09-01,False,40.0,0.0,6.666666666666667,12.5,62.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2017-10-01,False,40.0,0.0,53.333333333333336,50.0,63.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2017-11-01,False,40.0,0.0,33.333333333333336,25.0,80.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2017-12-01,False,40.0,0.0,13.333333333333334,12.5,80.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2018-01-01,False,60.0,0.0,6.666666666666667,0.0,67.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2018-02-01,False,60.0,0.0,100.0,87.5,58.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2018-03-01,False,60.0,0.0,93.33333333333333,100.0,63.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2018-04-01,False,40.0,0.0,33.333333333333336,37.5,88.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2018-05-01,False,60.0,0.0,33.333333333333336,25.0,73.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2018-06-01,False,40.0,0.0,20.0,37.5,69.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2018-07-01,False,60.0,0.0,6.666666666666667,25.0,74.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2018-08-01,False,40.0,0.0,6.666666666666667,12.5,75.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2018-09-01,False,60.0,0.0,6.666666666666667,25.0,72.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2018-10-01,False,20.0,0.0,20.0,12.5,64.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2018-11-01,False,20.0,0.0,20.0,37.5,75.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2018-12-01,False,60.0,0.0,13.333333333333334,25.0,84.0,5.0,1.0,15.0,8.0,100.0
