Metro,datetime,isPartial,home for rent,house for rent,townhome for rent,townhouse for rent,starbucks,rel_pop_home for rent,rel_pop_house for rent,rel_pop_townhome for rent,rel_pop_townhouse for rent,rel_pop_starbucks
Boston-Cambridge-Newton,2014-01-01,False,60.0,42.857142857142854,,0.0,48.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2014-02-01,False,60.0,64.28571428571429,,100.0,54.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2014-03-01,False,60.0,71.42857142857143,,100.0,46.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2014-04-01,False,60.0,64.28571428571429,,100.0,51.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2014-05-01,False,80.0,50.0,,0.0,63.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2014-06-01,False,40.0,85.71428571428571,,0.0,53.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2014-07-01,False,40.0,71.42857142857143,,0.0,60.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2014-08-01,False,80.0,64.28571428571429,,0.0,52.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2014-09-01,False,40.0,50.0,,100.0,53.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2014-10-01,False,60.0,42.857142857142854,,0.0,51.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2014-11-01,False,40.0,35.714285714285715,,0.0,65.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2014-12-01,False,20.0,42.857142857142854,,0.0,69.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2015-01-01,False,80.0,71.42857142857143,,0.0,56.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2015-02-01,False,60.0,64.28571428571429,,0.0,57.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2015-03-01,False,100.0,64.28571428571429,,100.0,58.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2015-04-01,False,60.0,64.28571428571429,,100.0,64.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2015-05-01,False,60.0,64.28571428571429,,0.0,59.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2015-06-01,False,60.0,71.42857142857143,,0.0,60.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2015-07-01,False,100.0,100.0,,100.0,60.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2015-08-01,False,60.0,64.28571428571429,,0.0,50.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2015-09-01,False,60.0,71.42857142857143,,0.0,54.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2015-10-01,False,60.0,57.142857142857146,,100.0,61.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2015-11-01,False,40.0,50.0,,100.0,90.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2015-12-01,False,40.0,42.857142857142854,,0.0,72.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2016-01-01,False,40.0,50.0,,100.0,64.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2016-02-01,False,60.0,64.28571428571429,,0.0,56.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2016-03-01,False,40.0,57.142857142857146,,100.0,57.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2016-04-01,False,80.0,78.57142857142857,,0.0,63.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2016-05-01,False,60.0,85.71428571428571,,100.0,68.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2016-06-01,False,40.0,71.42857142857143,,0.0,72.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2016-07-01,False,60.0,64.28571428571429,,0.0,79.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2016-08-01,False,80.0,71.42857142857143,,0.0,69.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2016-09-01,False,40.0,64.28571428571429,,0.0,62.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2016-10-01,False,80.0,50.0,,100.0,61.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2016-11-01,False,40.0,57.142857142857146,,0.0,77.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2016-12-01,False,20.0,50.0,,0.0,82.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2017-01-01,False,60.0,57.142857142857146,,100.0,63.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2017-02-01,False,60.0,64.28571428571429,,100.0,65.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2017-03-01,False,80.0,71.42857142857143,,100.0,58.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2017-04-01,False,60.0,71.42857142857143,,100.0,88.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2017-05-01,False,60.0,78.57142857142857,,100.0,69.0,5.0,14.0,0.0,1.0,100.0
