zip,RMSE_train,RMSE_test,forecast
1801,60.75083718617428,81.24161933592084,"[2219.0336247948358, 2199.849025735648, 2214.477032113926, 2200.2658742230483, 2188.5924013344684, 2203.1969520763823, 2209.0013059338935, 2203.938439945584, 2235.3793221619276, 2217.0282275420554, 2216.018428689316, 2212.2987955650988]"
1830,60.76463625934173,65.42224463515743,"[1584.6892041331448, 1576.691795836397, 1579.8367490460707, 1568.2564595757217, 1566.7080956241157, 1566.9745471880403, 1569.5662493708987, 1567.437892140398, 1571.5055989974978, 1563.4775440756962, 1563.8537260284302, 1562.1414565086866]"
1832,41.038654405161545,72.26343297502662,"[1540.924799078538, 1534.0588776348582, 1529.8857083278, 1520.8649607474288, 1520.3507745252755, 1521.3321033542456, 1527.1873286970044, 1522.7606741526517, 1536.1684395584955, 1528.1904325408536, 1525.8913533924012, 1521.4794004904616]"
1841,45.24780298210735,57.82071562704977,"[1595.3545486728399, 1585.3452187130054, 1585.6970565125241, 1575.975880578905, 1580.6216658644482, 1579.0338786892924, 1588.8946735585375, 1585.5387044424137, 1594.7529215690756, 1587.0795211182042, 1579.599161109605, 1566.3574750544383]"
1843,49.00386024726834,37.717794348730855,"[1730.7580120428179, 1714.8183365625707, 1712.5178881767704, 1704.0118234092574, 1715.7823009363701, 1714.2838206724587, 1729.7820932351322, 1725.4548753761255, 1737.3292902795592, 1732.9045940650687, 1717.0804755029776, 1725.2401532002027]"
1844,71.1495701901637,28.29411940757679,"[1703.0450209815199, 1697.8249047536644, 1694.3599202563444, 1687.4033699135498, 1691.3666003826966, 1688.6129377769091, 1695.7271933930967, 1692.8565068444318, 1703.0431048653143, 1696.1121697852873, 1695.3734483260075, 1697.4769692446266]"
1845,55.259636492988875,62.58634435577675,"[1809.7210963079683, 1798.2643741639538, 1801.9086283027189, 1787.6115267106275, 1786.205559379971, 1784.6550472356282, 1787.9536676816533, 1782.2314808227497, 1796.5941246912976, 1787.0311412844885, 1786.9257710957359, 1785.5672919527547]"
1850,35.60678558188397,105.40817374141484,"[1984.2774666014138, 1964.0507182839817, 1969.732280810633, 1962.5019629398932, 1955.2810934450574, 1968.968803346732, 1971.1673705526841, 1960.8813334709075, 1962.8823702292884, 1969.084486171868, 1959.818029462021, 1958.4354321275287]"
1851,45.17497303915681,88.05953553132295,"[1981.7749794545316, 1970.097531713248, 1974.083272122558, 1956.6910112746582, 1953.1623445986038, 1962.5444954256516, 1966.2164914777138, 1957.9050406417791, 1990.310805686197, 1978.1665834694356, 1985.6485001834167, 1987.9348517173314]"
1852,57.1795214118211,74.82824106098063,"[2002.0478199500308, 1988.1308745720414, 1989.4341426409537, 1976.2908614979456, 1975.5834517192739, 1986.5486804065515, 1992.4102734870542, 1978.9339676151603, 1964.0771066627876, 1977.1191345290392, 1969.9847279041387, 1989.7892274971086]"
1854,45.53589118958154,103.10320809481284,"[2048.384530329162, 2027.8083780324941, 2031.4556204641053, 2018.8548879151156, 2015.944804062553, 2029.2503578273772, 2033.4557882282077, 2023.1659752408793, 2063.7624955528463, 2041.6977280984322, 2034.0841234663535, 2009.3686351560184]"
1876,61.631516697429575,98.41148297182244,"[2099.837348433043, 2087.0024939046652, 2090.069628994695, 2070.014879348606, 2071.551161928111, 2074.169809186026, 2088.769810712437, 2085.34459773942, 2106.64027699799, 2097.6547660317055, 2094.710548642755, 2093.401320447543]"
1880,31.574013611878183,72.3464809785995,"[2187.3535544706883, 2174.414428410171, 2177.1890566053767, 2167.0646254742564, 2165.7790565604287, 2172.1123054451277, 2187.9851913630473, 2182.6765167672493, 2198.4494741922604, 2190.3987928961983, 2184.663450964948, 2185.965923347813]"
1902,34.62898850202553,94.05593580726715,"[1756.8000516126754, 1751.8149651189528, 1744.0846752967398, 1733.8354649681519, 1737.9850996320426, 1736.5714908032755, 1751.4709248728575, 1746.679653785763, 1756.0746572270439, 1750.6516906955537, 1745.777138598236, 1752.8968092116402]"
1905,43.283185824747505,69.32214638926247,"[1758.935488452914, 1743.3023562293872, 1742.5940034368284, 1741.7141332470314, 1750.4503311326594, 1753.8306383331346, 1762.044461087105, 1757.4455458441726, 1778.2535415581315, 1764.164746780865, 1766.933450616923, 1772.5143251527224]"
