iter	Passed	Remaining
579	2844	2060
580	2849	2055
581	2854	2049
582	2858	2044
583	2863	2039
584	2868	2034
585	2873	2029
586	2878	2024
587	2882	2019
588	2886	2014
589	2891	2009
590	2896	2004
591	2901	1999
592	2905	1994
593	2910	1989
594	2915	1984
595	2919	1979
596	2924	1973
597	2928	1968
598	2934	1964
599	2939	1959
600	2944	1954
601	2948	1949
602	2953	1944
603	2957	1939
604	2963	1934
605	2967	1929
606	2972	1924
607	2977	1919
608	2981	1914
609	2985	1908
610	2990	1903
611	2995	1898
612	3000	1893
613	3004	1889
614	3009	1884
615	3014	1878
616	3018	1874
617	3023	1868
618	3027	1863
619	3032	1858
620	3036	1853
621	3040	1847
622	3045	1842
623	3049	1837
624	3054	1832
625	3058	1827
626	3063	1822
627	3067	1817
628	3072	1812
629	3077	1807
630	3081	1802
631	3086	1797
632	3090	1791
633	3094	1786
634	3099	1781
635	3104	1776
636	3109	1771
637	3113	1766
638	3118	1761
639	3123	1756
640	3128	1751
641	3132	1746
642	3137	1742
643	3143	1737
644	3148	1732
645	3152	1727
646	3157	1722
647	3161	1717
648	3166	1712
649	3171	1707
650	3175	1702
651	3180	1697
652	3185	1692
653	3189	1687
654	3194	1682
655	3198	1677
656	3203	1672
657	3208	1667
658	3212	1662
659	3218	1657
660	3222	1652
661	3228	1648
662	3233	1643
663	3239	1639
664	3244	1634
665	3249	1629
666	3253	1624
667	3258	1619
668	3263	1614
669	3267	1609
670	3273	1604
671	3277	1599
672	3282	1595
673	3288	1590
674	3293	1585
675	3298	1580
676	3303	1576
677	3308	1571
678	3313	1566
679	3319	1562
680	3325	1557
681	3329	1552
682	3335	1547
683	3340	1543
684	3345	1538
685	3351	1533
686	3356	1529
687	3361	1524
688	3367	1519
689	3373	1515
690	3378	1510
691	3385	1506
692	3390	1502
693	3394	1496
694	3400	1492
695	3405	1487
696	3410	1482
697	3415	1477
698	3420	1472
699	3424	1467
700	3430	1463
701	3435	1458
702	3440	1453
703	3445	1448
704	3450	1443
705	3455	1439
706	3460	1434
707	3466	1429
708	3471	1424
709	3476	1419
710	3481	1415
711	3486	1410
712	3490	1405
713	3496	1400
714	3501	1395
715	3506	1390
716	3512	1386
717	3517	1381
718	3522	1376
719	3528	1372
720	3534	1367
721	3538	1362
722	3544	1358
723	3550	1353
724	3556	1348
725	3562	1344
726	3567	1339
727	3572	1334
728	3578	1330
729	3582	1325
730	3587	1320
731	3593	1315
732	3597	1310
733	3602	1305
734	3606	1300
735	3611	1295
736	3616	1290
737	3621	1285
738	3625	1280
739	3630	1275
740	3634	1270
741	3639	1265
742	3644	1260
743	3648	1255
744	3653	1250
745	3658	1245
746	3662	1240
747	3667	1235
748	3672	1230
749	3677	1225
750	3682	1220
751	3686	1215
752	3691	1210
753	3695	1205
754	3699	1200
755	3703	1195
756	3708	1190
757	3713	1185
758	3719	1181
759	3724	1176
760	3728	1170
761	3732	1165
762	3737	1160
763	3741	1155
764	3746	1150
765	3751	1145
766	3755	1140
767	3760	1135
768	3764	1130
769	3769	1125
770	3773	1120
771	3778	1115
772	3782	1110
773	3787	1105
774	3793	1101
775	3798	1096
776	3804	1091
777	3808	1086
778	3813	1081
779	3818	1076
780	3823	1072
781	3827	1067
782	3833	1062
783	3838	1057
784	3842	1052
785	3847	1047
786	3853	1042
787	3858	1038
788	3863	1033
789	3868	1028
790	3873	1023
791	3878	1018
792	3884	1013
793	3888	1008
794	3893	1003
795	3899	999
796	3904	994
797	3909	989
798	3914	984
799	3920	980
800	3925	975
801	3930	970
802	3935	965
803	3939	960
804	3945	955
805	3950	950
806	3955	945
807	3961	941
808	3966	936
809	3970	931
810	3976	926
811	3981	921
812	3985	916
813	3991	911
814	3996	907
815	4000	902
816	4005	897
817	4009	892
818	4014	887
819	4018	882
820	4024	877
821	4029	872
822	4033	867
823	4038	862
824	4042	857
825	4047	852
826	4051	847
827	4056	842
828	4061	837
829	4066	832
830	4071	827
831	4076	823
832	4081	818
833	4085	813
834	4089	808
835	4093	803
836	4098	798
837	4103	793
838	4108	788
839	4113	783
840	4118	778
841	4124	773
842	4129	769
843	4133	764
844	4139	759
845	4143	754
846	4148	749
847	4154	744
848	4158	739
849	4162	734
850	4168	729
851	4173	724
852	4178	720
853	4184	715
854	4190	710
855	4194	705
856	4200	700
857	4205	695
858	4209	691
859	4214	686
860	4219	681
861	4225	676
862	4230	671
863	4235	666
864	4240	661
865	4245	656
866	4251	652
867	4255	647
868	4259	642
869	4265	637
870	4269	632
871	4273	627
872	4278	622
873	4284	617
874	4289	612
875	4293	607
876	4299	603
877	4305	598
878	4310	593
879	4316	588
880	4321	583
881	4326	578
882	4332	574
883	4337	569
884	4342	564
885	4348	559
886	4353	554
887	4359	549
888	4364	544
889	4369	540
890	4374	535
891	4379	530
892	4384	525
893	4389	520
894	4394	515
895	4398	510
896	4403	505
897	4408	500
898	4413	495
899	4418	490
900	4422	485
901	4426	480
902	4432	476
903	4436	471
904	4441	466
905	4446	461
906	4450	456
907	4455	451
908	4460	446
909	4464	441
910	4469	436
911	4474	431
912	4478	426
913	4483	421
914	4488	416
915	4492	412
916	4497	407
917	4502	402
918	4507	397
919	4511	392
920	4515	387
921	4520	382
922	4525	377
923	4530	372
924	4535	367
925	4539	362
926	4545	357
927	4549	352
928	4554	348
929	4558	343
930	4563	338
931	4568	333
932	4573	328
933	4577	323
934	4582	318
935	4587	313
936	4591	308
937	4596	303
938	4601	298
939	4606	294
940	4610	289
941	4615	284
942	4619	279
943	4624	274
944	4629	269
945	4633	264
946	4638	259
947	4643	254
948	4647	249
949	4652	244
950	4657	239
951	4661	235
952	4666	230
953	4670	225
954	4674	220
955	4679	215
956	4684	210
957	4688	205
958	4693	200
959	4698	195
960	4704	190
961	4709	186
962	4714	181
963	4720	176
964	4725	171
965	4730	166
966	4735	161
967	4740	156
968	4746	151
969	4751	146
970	4756	142
971	4761	137
972	4767	132
973	4772	127
974	4777	122
975	4783	117
976	4788	112
977	4792	107
978	4798	102
979	4802	98
980	4807	93
981	4813	88
982	4817	83
983	4822	78
984	4828	73
985	4834	68
986	4838	63
987	4845	58
988	4850	53
989	4854	49
990	4860	44
991	4864	39
992	4869	34
993	4873	29
994	4878	24
995	4883	19
996	4888	14
997	4893	9
998	4898	4
999	4903	0
