,ZIP,arima_params,arima_seasonal,RSME,Predictions_2019,Conf_interval_2019
692,33705,"(2, 1, 0)","(0, 0, 0, 12)",59.56197181240632,"[1343.1773638604675, 1348.1941917052936, 1353.1297815258336, 1358.4359597511082, 1364.0409391214748, 1369.7993496235786, 1375.6150863595158, 1381.443937917265, 1387.271160422168, 1393.0944416260857, 1398.9150380064125, 1404.7345034391142]","[[1328.5569807288523, 1357.7977469920827], [1333.6965429912586, 1362.6918404193286], [1338.751525785472, 1367.508037266195], [1344.1740915342068, 1372.6978279680095], [1349.892631434127, 1378.1892468088226], [1355.7620877078186, 1383.8366115393385], [1361.6862997413027, 1389.5438729777288], [1367.6210305467978, 1395.2668452877322], [1373.55204708163, 1400.9902737627058], [1379.4764852440278, 1406.7123980081435], [1385.3960652590677, 1412.4340107537573], [1391.3125426870763, 1418.156464191152]]"
693,33706,"(5, 1, 0)","(1, 0, 0, 12)",22.50673639648873,"[1527.8740332679156, 1539.650558718666, 1544.4701041028022, 1539.1627986407223, 1534.0809911821077, 1536.1944434335123, 1542.0463134349704, 1553.8799613389317, 1566.001149537564, 1572.7485767443386, 1577.8959204113112, 1576.6711940254024]","[[1510.6675499834005, 1545.0805165524307], [1522.5893378295327, 1556.7117796077991], [1527.5501272630079, 1561.3900809425966], [1522.3810706811919, 1555.9445266002526], [1517.4335575955395, 1550.728424768676], [1519.6792940556697, 1552.709592811355], [1525.6586068931595, 1558.4340199767814], [1537.6175914136468, 1570.1423312642166], [1549.861606097069, 1582.1406929780592], [1556.728366244548, 1588.7687872441293], [1561.992252758025, 1593.7995880645974], [1560.8829747624845, 1592.4594132883203]]"
694,33708,"(1, 1, 0)","(1, 0, 0, 12)",34.482829779220936,"[1602.8571258364254, 1618.5433734530654, 1628.5849017879038, 1635.9484990517242, 1643.2395862810652, 1651.012073267448, 1657.2620370299637, 1663.539725837784, 1672.0258773420794, 1677.656259075113, 1682.5506332557588, 1682.2717031098605]","[[1586.542496516014, 1619.171755156837], [1602.3662867238231, 1634.7204601823078], [1612.5413413534284, 1644.6284622223793], [1620.0358222853617, 1651.8611758180866], [1627.4531591595623, 1659.026013402568], [1635.3507599807194, 1666.6733865541764], [1641.7222432313085, 1672.801830828619], [1648.1186144536366, 1678.9608372219316], [1656.7210517642213, 1687.3307029199375], [1662.4640099837973, 1692.8485081664287], [1667.4701098829241, 1697.6311566285935], [1667.2994338253359, 1697.243972394385]]"
695,33712,"(1, 1, 0)","(0, 0, 0, 12)",27.960711859011482,"[1149.9600674793558, 1153.0275250429336, 1156.7205874384192, 1160.7671260516922, 1165.0134247832273, 1169.372633515455, 1173.7956724616506, 1178.2548001309601, 1182.7343327341366, 1187.225401424147, 1191.7229900242405, 1196.2242607807607]","[[1136.1043822480162, 1163.8157527106953], [1139.2879966141008, 1166.7670534717663], [1143.0940099067577, 1170.3471649700807], [1147.2509050346134, 1174.283347068771], [1151.6049313935623, 1178.4219181728922], [1156.069330592106, 1182.6759364388038], [1160.5951221663602, 1186.996222756941], [1165.1546571583183, 1191.354943103602], [1169.7323402041188, 1195.7363252641544], [1174.3193852657514, 1200.1314175825428], [1178.9108555587497, 1204.5351244897313], [1183.5039883892166, 1208.9445331723048]]"
696,33716,"(3, 1, 1)","(0, 0, 0, 12)",55.17975244454928,"[1195.896400571434, 1199.7396918790123, 1206.1433962692904, 1214.4250477857145, 1223.4835714551666, 1232.2374645669238, 1239.8210484825402, 1245.7701981201988, 1250.0612647006394, 1253.0555094924327, 1255.3578208985894, 1257.6438003227336]","[[1187.5443139030556, 1204.2484872398124], [1191.4579672931573, 1208.0214164648673], [1197.9299014586077, 1214.3568910799731], [1206.2784311584203, 1222.5716644130086], [1215.4019804841967, 1231.5651624261366], [1224.219537763569, 1240.2553913702786], [1231.8651879312324, 1247.776909033848], [1237.875074236881, 1253.6653220035166], [1242.225456792121, 1257.897072609158], [1245.2777103096507, 1260.8333086752148], [1247.6367510709897, 1263.078890726189], [1249.9782199837066, 1265.3093806617605]]"
697,33755,"(1, 1, 0)","(0, 0, 0, 12)",32.0783604714847,"[1091.7623549554771, 1095.3202263970707, 1099.237263975963, 1103.316501403166, 1107.4690054784612, 1111.6546094022194, 1115.8551660405008, 1120.062474017998, 1124.2728256932394, 1128.4845445392878, 1132.6968724088401, 1136.9094665259304]","[[1081.6834009404345, 1101.8413089705198], [1085.3255990158816, 1105.3148537782597], [1089.3249163050775, 1109.1496116468486], [1093.4844313874744, 1113.1485714188577], [1097.7152918240563, 1117.2227191328661], [1101.977407521427, 1121.3318112830118], [1106.2527022996187, 1125.4576297813828], [1110.5330428805717, 1129.5919051554245], [1114.814785306381, 1133.7308660800977], [1119.0963139956532, 1137.8727750829223], [1123.3769284284724, 1142.0168163892079], [1127.6563400587688, 1146.162592993092]]"
698,33756,"(3, 1, 0)","(0, 0, 0, 12)",34.69705892486082,"[1128.9394174150545, 1129.8473537432526, 1134.8332045014108, 1141.4790456321805, 1148.104157180661, 1153.621050062628, 1157.956164695132, 1161.5265651306393, 1164.8971344961458, 1168.459362296876, 1172.3549322133042, 1176.523557069129]","[[1118.248871516478, 1139.6299633136312], [1119.2464839036636, 1140.4482235828416], [1124.3196819141074, 1145.3467270887143], [1131.0508559620212, 1151.9072353023398], [1137.7590763186167, 1158.4492380427055], [1143.357178275904, 1163.884921849352], [1147.7714100311453, 1168.1409193591187], [1151.419310268947, 1171.6338199923316], [1154.8657911945854, 1174.9284777977061], [1158.5019360862216, 1178.4167885075303], [1162.4703284140317, 1182.2395360125768], [1166.7095239531013, 1186.3375901851568]]"
699,33771,"(1, 1, 0)","(0, 0, 0, 12)",40.63667080257033,"[1173.6007099384087, 1175.793703119667, 1178.961655786731, 1182.7266778404344, 1186.8574198141555, 1191.2122213327586, 1195.7043228062187, 1200.2805769477654, 1204.9084194503291, 1209.5678931893378, 1214.2467647848025, 1218.9375337496606]","[[1163.446354974501, 1183.7550649023165], [1165.7243390520428, 1185.8630671872913], [1168.9752112620968, 1188.9481003113651], [1172.8211291930338, 1192.632226487835], [1177.0308281325467, 1196.6840114957643], [1181.462725786893, 1200.9617168786242], [1186.0301357049796, 1205.3785099074578], [1190.6799791147178, 1209.8811747808131], [1195.379756058608, 1214.4370828420501], [1200.1095709020024, 1219.0262154766733], [1204.8572480515445, 1223.6362815180605], [1209.615342571122, 1228.2597249281991]]"
700,33907,"(1, 2, 1)","(0, 0, 0, 12)",49.55092693951466,"[1236.6615620923028, 1232.6393296445146, 1229.272515658853, 1226.2359543050766, 1223.369128759209, 1220.5923984695617, 1217.8659152844493, 1215.1694610091806, 1212.4925393184255, 1209.829498145171, 1207.177125897618, 1204.533460641438]","[[1213.5877637150115, 1259.735360469594], [1209.762627678764, 1255.5160316102654], [1206.5879011326283, 1251.9571301850779], [1203.738648781496, 1248.733259828657], [1201.054551807614, 1245.683705710804], [1198.4561542922042, 1242.728642646919], [1195.9037832889874, 1239.8280472799113], [1193.377385936163, 1236.9615360821983], [1190.866621572401, 1234.11845706445], [1188.3659867388485, 1231.2930095514937], [1185.8724098431835, 1228.4818419520525], [1183.3840589355639, 1225.6828623473123]]"
701,33916,"(0, 2, 1)","(1, 0, 0, 12)",29.197661738583328,"[1146.8562156173796, 1145.0623085647885, 1143.7182324002426, 1143.279493097652, 1141.4778744540235, 1139.6777449473539, 1137.1923803807435, 1132.8768928102727, 1128.7920828147578, 1124.4767195330828, 1120.6227601716173, 1116.9994041255104]","[[1135.4273639835303, 1158.2850672512288], [1133.7312937429408, 1156.3933233866362], [1132.4824252909823, 1154.954039509503], [1132.1365298112923, 1154.4224563840116], [1130.4254803656559, 1152.5302685423912], [1128.7137510523678, 1150.64173884234], [1126.3146885208596, 1148.0700722406275], [1122.0834938969456, 1143.6702917235998], [1118.0810384424904, 1139.5031271870253], [1113.8461698900462, 1135.1072691761194], [1110.0709151130682, 1131.1746052301664], [1106.5245389995155, 1127.4742692515053]]"
