ZIPCODE,year,state_local_perc,month
02124,2013,0.1889148258538887,1
02124,2013,0.18856003766158946,2
02124,2013,0.18820524946929024,3
02124,2013,0.187850461276991,4
02124,2013,0.18749567308469178,5
02124,2013,0.18714088489239256,6
02124,2013,0.18678609670009333,7
02124,2013,0.1864313085077941,8
02124,2013,0.18607652031549488,9
02124,2013,0.18572173212319565,10
02124,2013,0.18536694393089642,11
02124,2013,0.1850121557385972,12
02124,2014,0.18442104673887888,1
02124,2014,0.18382993773916056,2
02124,2014,0.18323882873944225,3
02124,2014,0.18264771973972393,4
02124,2014,0.18205661074000562,5
02124,2014,0.1814655017402873,6
02124,2014,0.18087439274056902,7
02124,2014,0.1802832837408507,8
02124,2014,0.1796921747411324,9
02124,2014,0.17910106574141407,10
02124,2014,0.17850995674169576,11
02124,2014,0.17791884774197744,12
02124,2015,0.17757445260285773,1
02124,2015,0.17723005746373804,2
02124,2015,0.17688566232461833,3
02124,2015,0.17654126718549862,4
02124,2015,0.1761968720463789,5
02124,2015,0.1758524769072592,6
02124,2015,0.1755080817681395,7
02124,2015,0.1751636866290198,8
02124,2015,0.17481929148990008,9
02124,2015,0.1744748963507804,10
02124,2015,0.17413050121166068,11
02124,2015,0.17378610607254097,12
02124,2016,0.17411429904944375,1
02124,2016,0.17444249202634654,2
02124,2016,0.17477068500324933,3
02124,2016,0.1750988779801521,4
02124,2016,0.1754270709570549,5
02124,2016,0.17575526393395768,6
02124,2016,0.17608345691086044,7
02124,2016,0.17641164988776323,8
02124,2016,0.176739842864666,9
02124,2016,0.1770680358415688,10
02124,2016,0.17739622881847159,11
02124,2016,0.17772442179537437,12
02124,2017,0.17713065968557087,1
02124,2017,0.1765368975757674,2
02124,2017,0.1759431354659639,3
02124,2017,0.17534937335616044,4
02124,2017,0.17475561124635694,5
02124,2017,0.17416184913655347,6
02124,2017,0.17356808702674997,7
02124,2017,0.17297432491694648,8
02124,2017,0.172380562807143,9
02124,2017,0.1717868006973395,10
02124,2017,0.17119303858753604,11
02124,2017,0.17059927647773254,12
02124,2018,0.16485384421938715,1
02124,2018,0.15910841196104178,2
02124,2018,0.15336297970269638,3
02124,2018,0.14761754744435102,4
02124,2018,0.14187211518600562,5
02124,2018,0.13612668292766023,6
02124,2018,0.13038125066931483,7
02124,2018,0.12463581841096946,8
02124,2018,0.11889038615262408,9
02124,2018,0.1131449538942787,10
02124,2018,0.1073995216359333,11
02124,2018,0.10165408937758792,12
02125,2012,,1
02125,2012,,2
02125,2012,,3
02125,2012,,4
02125,2012,,5
02125,2012,,6
02125,2012,,7
02125,2012,,8
02125,2012,,9
02125,2012,,10
02125,2012,,11
02125,2012,0.1653538077336911,12
02125,2013,0.16587948312180642,1
02125,2013,0.16640515850992174,2
02125,2013,0.16693083389803706,3
02125,2013,0.16745650928615238,4
02125,2013,0.1679821846742677,5
02125,2013,0.16850786006238305,6
02125,2013,0.16903353545049837,7
02125,2013,0.1695592108386137,8
02125,2013,0.17008488622672902,9
02125,2013,0.17061056161484434,10
02125,2013,0.17113623700295966,11
02125,2013,0.17166191239107498,12
02125,2014,0.1705688769597035,1
02125,2014,0.16947584152833198,2
02125,2014,0.1683828060969605,3
02125,2014,0.16728977066558898,4
02125,2014,0.1661967352342175,5
02125,2014,0.165103699802846,6
02125,2014,0.1640106643714745,7
02125,2014,0.162917628940103,8
02125,2014,0.1618245935087315,9
02125,2014,0.16073155807736,10
02125,2014,0.1596385226459885,11
02125,2014,0.158545487214617,12
02125,2015,0.15857907052883163,1
02125,2015,0.15861265384304626,2
02125,2015,0.1586462371572609,3
02125,2015,0.15867982047147555,4
02125,2015,0.15871340378569018,5
02125,2015,0.1587469870999048,6
02125,2015,0.15878057041411944,7
02125,2015,0.15881415372833407,8
02125,2015,0.15884773704254873,9
02125,2015,0.15888132035676336,10
02125,2015,0.158914903670978,11
02125,2015,0.15894848698519262,12
02125,2016,0.15834265336783543,1
02125,2016,0.15773681975047826,2
02125,2016,0.15713098613312107,3
02125,2016,0.15652515251576388,4
02125,2016,0.15591931889840668,5
02125,2016,0.1553134852810495,6
02125,2016,0.15470765166369232,7
02125,2016,0.15410181804633513,8
02125,2016,0.15349598442897794,9
02125,2016,0.15289015081162077,10
02125,2016,0.15228431719426358,11
02125,2016,0.1516784835769064,12
02125,2017,0.1519850385169261,1
02125,2017,0.1522915934569458,2
02125,2017,0.1525981483969655,3
02125,2017,0.15290470333698522,4
02125,2017,0.1532112582770049,5
02125,2017,0.15351781321702462,6
02125,2017,0.15382436815704434,7
02125,2017,0.15413092309706403,8
02125,2017,0.15443747803708374,9
02125,2017,0.15474403297710346,10
02125,2017,0.15505058791712314,11
02125,2017,0.15535714285714286,12
02125,2018,0.1504816602987606,1
02125,2018,0.14560617774037832,2
02125,2018,0.14073069518199605,3
02125,2018,0.13585521262361377,4
02125,2018,0.13097973006523153,5
02125,2018,0.12610424750684926,6
02125,2018,0.12122876494846699,7
02125,2018,0.11635328239008472,8
02125,2018,0.11147779983170245,9
02125,2018,0.10660231727332017,10
02125,2018,0.10172683471493792,11
02125,2018,0.09685135215655565,12
02126,2012,,1
02126,2012,,2
02126,2012,,3
02126,2012,,4
02126,2012,,5
02126,2012,,6
02126,2012,,7
02126,2012,,8
02126,2012,,9
02126,2012,,10
02126,2012,,11
02126,2012,0.18449742727596924,12
02126,2013,0.183942885145067,1
02126,2013,0.18338834301416473,2
02126,2013,0.1828338008832625,3
02126,2013,0.18227925875236026,4
02126,2013,0.181724716621458,5
02126,2013,0.18117017449055578,6
02126,2013,0.18061563235965353,7
02126,2013,0.18006109022875127,8
02126,2013,0.17950654809784902,9
02126,2013,0.17895200596694677,10
02126,2013,0.17839746383604455,11
02126,2013,0.1778429217051423,12
02126,2014,0.17777816825495782,1
02126,2014,0.17771341480477337,2
02126,2014,0.1776486613545889,3
02126,2014,0.17758390790440445,4
02126,2014,0.17751915445421998,5
02126,2014,0.17745440100403553,6
02126,2014,0.17738964755385106,7
02126,2014,0.17732489410366659,8
02126,2014,0.17726014065348214,9
02126,2014,0.17719538720329767,10
02126,2014,0.17713063375311322,11
02126,2014,0.17706588030292875,12
02126,2015,0.17681524262037487,1
02126,2015,0.17656460493782097,2
02126,2015,0.1763139672552671,3
02126,2015,0.17606332957271323,4
02126,2015,0.17581269189015933,5
02126,2015,0.17556205420760546,6
02126,2015,0.17531141652505158,7
02126,2015,0.17506077884249768,8
02126,2015,0.1748101411599438,9
02126,2015,0.17455950347738994,10
02126,2015,0.17430886579483604,11
02126,2015,0.17405822811228217,12
02126,2016,0.17344310758431014,1
02126,2016,0.17282798705633812,2
02126,2016,0.1722128665283661,3
02126,2016,0.17159774600039407,4
02126,2016,0.17098262547242205,5
02126,2016,0.17036750494445002,6
02126,2016,0.16975238441647802,7
02126,2016,0.169137263888506,8
02126,2016,0.16852214336053398,9
02126,2016,0.16790702283256195,10
02126,2016,0.16729190230458993,11
02126,2016,0.1666767817766179,12
02126,2017,0.1665157730028049,1
02126,2017,0.16635476422899192,2
02126,2017,0.16619375545517892,3
02126,2017,0.16603274668136594,4
02126,2017,0.16587173790755294,5
02126,2017,0.16571072913373996,6
02126,2017,0.16554972035992696,7
02126,2017,0.16538871158611396,8
02126,2017,0.16522770281230098,9
02126,2017,0.16506669403848798,10
02126,2017,0.164905685264675,11
02126,2017,0.164744676490862,12
02126,2018,0.15831604078228995,1
02126,2018,0.1518874050737179,2
02126,2018,0.14545876936514585,3
02126,2018,0.1390301336565738,4
02126,2018,0.13260149794800175,5
02126,2018,0.1261728622394297,6
02126,2018,0.11974422653085764,7
02126,2018,0.1133155908222856,8
02126,2018,0.10688695511371354,9
02126,2018,0.10045831940514151,10
02126,2018,0.09402968369656946,11
02126,2018,0.08760104798799741,12
02127,2012,,1
02127,2012,,2
02127,2012,,3
02127,2012,,4
02127,2012,,5
02127,2012,,6
02127,2012,,7
02127,2012,,8
02127,2012,,9
02127,2012,,10
02127,2012,,11
02127,2012,0.16659041840231795,12
02127,2013,0.1663736252090475,1
02127,2013,0.16615683201577705,2
02127,2013,0.16594003882250663,3
02127,2013,0.16572324562923618,4
02127,2013,0.16550645243596573,5
02127,2013,0.16528965924269529,6
02127,2013,0.16507286604942484,7
02127,2013,0.1648560728561544,8
02127,2013,0.16463927966288394,9
02127,2013,0.16442248646961352,10
02127,2013,0.16420569327634307,11
02127,2013,0.16398890008307263,12
02127,2014,0.16354363764063976,1
02127,2014,0.16309837519820686,2
02127,2014,0.162653112755774,3
02127,2014,0.16220785031334112,4
02127,2014,0.16176258787090822,5
02127,2014,0.16131732542847535,6
02127,2014,0.16087206298604248,7
02127,2014,0.16042680054360958,8
02127,2014,0.1599815381011767,9
02127,2014,0.15953627565874384,10
02127,2014,0.15909101321631094,11
02127,2014,0.15864575077387807,12
02127,2015,0.1584866173783241,1
02127,2015,0.1583274839827701,2
02127,2015,0.15816835058721612,3
02127,2015,0.15800921719166217,4
02127,2015,0.15785008379610818,5
02127,2015,0.1576909504005542,6
02127,2015,0.1575318170050002,7
02127,2015,0.15737268360944623,8
02127,2015,0.15721355021389227,9
02127,2015,0.1570544168183383,10
02127,2015,0.1568952834227843,11
02127,2015,0.15673615002723032,12
02127,2016,0.15657410291299712,1
02127,2016,0.15641205579876388,2
02127,2016,0.15625000868453068,3
02127,2016,0.15608796157029747,4
02127,2016,0.15592591445606427,5
02127,2016,0.15576386734183106,6
02127,2016,0.15560182022759783,7
02127,2016,0.15543977311336463,8
02127,2016,0.15527772599913142,9
02127,2016,0.1551156788848982,10
02127,2016,0.15495363177066498,11
02127,2016,0.15479158465643178,12
02127,2017,0.15494115347905146,1
02127,2017,0.15509072230167117,2
02127,2017,0.15524029112429086,3
02127,2017,0.15538985994691054,4
02127,2017,0.15553942876953025,5
02127,2017,0.15568899759214994,6
02127,2017,0.15583856641476962,7
02127,2017,0.15598813523738933,8
02127,2017,0.156137704060009,9
02127,2017,0.1562872728826287,10
02127,2017,0.1564368417052484,11
02127,2017,0.1565864105278681,12
02127,2018,0.15231825095739496,1
02127,2018,0.14805009138692185,2
02127,2018,0.14378193181644872,3
02127,2018,0.1395137722459756,4
02127,2018,0.13524561267550247,5
02127,2018,0.13097745310502937,6
02127,2018,0.12670929353455623,7
02127,2018,0.12244113396408313,8
02127,2018,0.11817297439360999,9
02127,2018,0.11390481482313689,10
02127,2018,0.10963665525266375,11
02127,2018,0.10536849568219063,12
02128,2012,,1
02128,2012,,2
02128,2012,,3
02128,2012,,4
02128,2012,,5
02128,2012,,6
02128,2012,,7
02128,2012,,8
02128,2012,,9
02128,2012,,10
02128,2012,,11
02128,2012,0.14894035363678496,12
02128,2013,0.1492046683516974,1
02128,2013,0.14946898306660986,2
02128,2013,0.14973329778152233,3
02128,2013,0.14999761249643478,4
02128,2013,0.15026192721134723,5
02128,2013,0.15052624192625969,6
02128,2013,0.15079055664117214,7
02128,2013,0.15105487135608459,8
02128,2013,0.15131918607099704,9
02128,2013,0.15158350078590951,10
02128,2013,0.15184781550082196,11
02128,2013,0.15211213021573441,12
02128,2014,0.15125083528024277,1
02128,2014,0.1503895403447511,2
02128,2014,0.14952824540925946,3
02128,2014,0.14866695047376782,4
02128,2014,0.14780565553827618,5
02128,2014,0.14694436060278454,6
02128,2014,0.14608306566729287,7
02128,2014,0.14522177073180123,8
02128,2014,0.1443604757963096,9
02128,2014,0.14349918086081792,10
02128,2014,0.14263788592532628,11
02128,2014,0.14177659098983464,12
02128,2015,0.14144374968541762,1
02128,2015,0.14111090838100057,2
02128,2015,0.14077806707658355,3
02128,2015,0.14044522577216653,4
02128,2015,0.14011238446774948,5
02128,2015,0.13977954316333246,6
02128,2015,0.13944670185891545,7
02128,2015,0.1391138605544984,8
02128,2015,0.13878101925008138,9
02128,2015,0.13844817794566436,10
02128,2015,0.1381153366412473,11
02128,2015,0.1377824953368303,12
02128,2016,0.1375040413268855,1
02128,2016,0.1372255873169407,2
02128,2016,0.13694713330699593,3
02128,2016,0.13666867929705115,4
02128,2016,0.13639022528710634,5
02128,2016,0.13611177127716156,6
02128,2016,0.13583331726721679,7
02128,2016,0.13555486325727198,8
02128,2016,0.1352764092473272,9
02128,2016,0.13499795523738242,10
02128,2016,0.13471950122743762,11
02128,2016,0.13444104721749284,12
02128,2017,0.13411624529098698,1
02128,2017,0.13379144336448112,2
02128,2017,0.13346664143797526,3
02128,2017,0.1331418395114694,4
02128,2017,0.13281703758496355,5
02128,2017,0.1324922356584577,6
02128,2017,0.13216743373195186,7
02128,2017,0.131842631805446,8
02128,2017,0.13151782987894015,9
02128,2017,0.1311930279524343,10
02128,2017,0.13086822602592843,11
02128,2017,0.13054342409942257,12
02128,2018,0.12537392679289638,1
02128,2018,0.1202044294863702,2
02128,2018,0.11503493217984401,3
02128,2018,0.10986543487331782,4
02128,2018,0.10469593756679163,5
02128,2018,0.09952644026026544,6
02128,2018,0.09435694295373925,7
02128,2018,0.08918744564721307,8
02128,2018,0.08401794834068688,9
02128,2018,0.07884845103416069,10
02128,2018,0.0736789537276345,11
02128,2018,0.06850945642110833,12
02129,2012,,1
02129,2012,,2
02129,2012,,3
02129,2012,,4
02129,2012,,5
02129,2012,,6
02129,2012,,7
02129,2012,,8
02129,2012,,9
02129,2012,,10
02129,2012,,11
02129,2012,0.17939283641926465,12
02129,2013,0.17709600880681,1
02129,2013,0.1747991811943554,2
02129,2013,0.17250235358190075,3
02129,2013,0.17020552596944613,4
02129,2013,0.1679086983569915,5
02129,2013,0.16561187074453687,6
02129,2013,0.16331504313208223,7
02129,2013,0.16101821551962758,8
02129,2013,0.15872138790717297,9
02129,2013,0.15642456029471832,10
02129,2013,0.1541277326822637,11
02129,2013,0.15183090506980906,12
02129,2014,0.15367922802219303,1
02129,2014,0.15552755097457702,2
02129,2014,0.15737587392696098,3
02129,2014,0.15922419687934497,4
02129,2014,0.16107251983172893,5
02129,2014,0.1629208427841129,6
02129,2014,0.1647691657364969,7
02129,2014,0.16661748868888085,8
02129,2014,0.16846581164126484,9
02129,2014,0.1703141345936488,10
02129,2014,0.17216245754603277,11
02129,2014,0.17401078049841676,12
02129,2015,0.17408769676545666,1
02129,2015,0.17416461303249656,2
02129,2015,0.17424152929953646,3
02129,2015,0.17431844556657633,4
02129,2015,0.17439536183361623,5
02129,2015,0.17447227810065613,6
02129,2015,0.17454919436769603,7
02129,2015,0.17462611063473593,8
02129,2015,0.1747030269017758,9
02129,2015,0.1747799431688157,10
02129,2015,0.1748568594358556,11
02129,2015,0.1749337757028955,12
02129,2016,0.17471979125981452,1
02129,2016,0.17450580681673356,2
02129,2016,0.17429182237365257,3
02129,2016,0.17407783793057158,4
02129,2016,0.17386385348749062,5
02129,2016,0.17364986904440963,6
02129,2016,0.17343588460132864,7
02129,2016,0.17322190015824768,8
02129,2016,0.1730079157151667,9
02129,2016,0.1727939312720857,10
02129,2016,0.17257994682900474,11
02129,2016,0.17236596238592375,12
02129,2017,0.17245887789545744,1
02129,2017,0.1725517934049911,2
02129,2017,0.1726447089145248,3
02129,2017,0.1727376244240585,4
02129,2017,0.17283053993359218,5
02129,2017,0.17292345544312587,6
02129,2017,0.17301637095265954,7
02129,2017,0.17310928646219323,8
02129,2017,0.17320220197172692,9
02129,2017,0.17329511748126059,10
02129,2017,0.17338803299079428,11
02129,2017,0.17348094850032797,12
02129,2018,0.16955706274480187,1
02129,2018,0.1656331769892758,2
02129,2018,0.16170929123374972,3
02129,2018,0.15778540547822362,4
02129,2018,0.15386151972269752,5
02129,2018,0.14993763396717144,6
02129,2018,0.14601374821164537,7
02129,2018,0.14208986245611926,8
02129,2018,0.13816597670059316,9
02129,2018,0.1342420909450671,10
02129,2018,0.13031820518954101,11
02129,2018,0.1263943194340149,12
02130,2012,,1
02130,2012,,2
02130,2012,,3
02130,2012,,4
02130,2012,,5
02130,2012,,6
02130,2012,,7
02130,2012,,8
02130,2012,,9
02130,2012,,10
02130,2012,,11
02130,2012,0.1835471467956828,12
02130,2013,0.18387693785936887,1
02130,2013,0.18420672892305495,2
02130,2013,0.18453651998674103,3
02130,2013,0.1848663110504271,4
02130,2013,0.1851961021141132,5
02130,2013,0.18552589317779927,6
02130,2013,0.18585568424148535,7
02130,2013,0.18618547530517143,8
02130,2013,0.1865152663688575,9
02130,2013,0.1868450574325436,10
02130,2013,0.18717484849622967,11
02130,2013,0.18750463955991575,12
02130,2014,0.18646207787644908,1
02130,2014,0.1854195161929824,2
02130,2014,0.18437695450951572,3
02130,2014,0.18333439282604905,4
02130,2014,0.18229183114258235,5
02130,2014,0.18124926945911568,6
02130,2014,0.180206707775649,7
02130,2014,0.1791641460921823,8
02130,2014,0.17812158440871564,9
02130,2014,0.17707902272524897,10
02130,2014,0.17603646104178228,11
02130,2014,0.1749938993583156,12
02130,2015,0.17549587279984913,1
02130,2015,0.17599784624138268,2
02130,2015,0.1764998196829162,3
02130,2015,0.17700179312444972,4
02130,2015,0.17750376656598327,5
02130,2015,0.1780057400075168,6
02130,2015,0.1785077134490503,7
02130,2015,0.17900968689058386,8
02130,2015,0.17951166033211738,9
02130,2015,0.1800136337736509,10
02130,2015,0.18051560721518445,11
02130,2015,0.18101758065671797,12
02130,2016,0.18031343858116985,1
02130,2016,0.17960929650562174,2
02130,2016,0.17890515443007363,3
02130,2016,0.1782010123545255,4
02130,2016,0.1774968702789774,5
02130,2016,0.17679272820342928,6
