,0_lower_bound,0_upper_bound,1_lower_bound,1_upper_bound,2_lower_bound,2_upper_bound,3_lower_bound,3_upper_bound,4_lower_bound,4_upper_bound,5_lower_bound,5_upper_bound,6_lower_bound,6_upper_bound,7_lower_bound,7_upper_bound,8_lower_bound,8_upper_bound,9_lower_bound,9_upper_bound,10_lower_bound,10_upper_bound,11_lower_bound,11_upper_bound
12209,1213.4242149021193,1194.200962083266,1213.8515714842704,1194.7895810941457,1212.2991100535457,1193.3943402378516,1211.329740204619,1192.5782498433607,1213.4179867898501,1194.8162034241323,1218.5038897457416,1200.048358671621,1225.3781838104208,1207.0653429243946,1232.1683475196362,1213.9959998818629,1237.5969067771603,1219.5597842978577,1241.3160084204135,1223.4125347559886,1243.8957874717344,1226.122561947377,1246.2857659972726,1228.6402194649684
12210,1066.6400143416433,1026.587948480588,1062.2746825026377,1022.5581950122465,1059.7250634361762,1020.3355676675187,1058.208753373466,1019.1383839106746,1057.2816962135694,1018.5221595073541,1056.690498281095,1018.2354209480352,1056.292196938045,1018.134171042335,1056.0048331968662,1018.1372253034771,1055.7823337416105,1018.197878924755,1055.597374997797,1018.2906863327077,1055.435398346346,1018.4001835778183,1055.2878885086989,1018.5178006826287
12303,1019.6376902451175,991.8330243771054,1010.1886594766371,982.6215297961529,1000.4466005999643,973.1108970247503,993.8894817859797,966.7793245475306,989.3786715737275,962.4885926899491,990.3747118806795,963.6994404458852,991.4545718024415,964.9888690101948,990.5979607647456,964.3369295905947,991.4837208517814,965.4226582970638,991.391734549681,965.5261237277037,994.8484138382438,969.1739110955306,1000.6880857559912,975.2004223223302
12304,1039.2060193637558,1001.1925137053628,1036.8361282851486,999.1366110801353,1034.3958347635232,997.0007860344759,1032.136353036322,995.0419525287106,1030.2920098974057,993.3890954454017,1028.7888160695072,992.2744656466439,1027.8081246916847,991.5670601235399,1027.406320625713,991.1967613268826,1027.281965942869,991.1483732694817,1027.4229523966292,991.3241491050472,1027.7462860173396,991.6651078395396,1028.1562809164627,992.094801821423
12306,1058.5348765212364,1028.4808876874793,1039.790234362247,1009.9821225270755,1023.9925265253385,994.4293111573779,1011.916181330275,982.5900786361113,1003.9978974550559,974.9032854991556,1000.3462429121138,971.4777084816366,1000.767074708402,972.1193984168887,1004.807749754473,976.3758708783043,1011.814459413494,983.593186859762,1020.9977917980068,992.9802408055698,1031.4933411960683,1003.6806735080596,1042.4462579554415,1014.8283507215979
12307,964.4032056966649,929.1436781184044,959.2827426614554,924.3105000989895,955.9472536815132,921.2616320522342,954.0013664522062,919.5907137358145,953.0999598624471,918.960439341264,952.9608999195882,919.0855527764033,953.3524804459607,919.7352632491409,954.0900828754567,920.7251788825128,955.0298218710675,921.9116293439265,956.0625665404885,923.1856874368531,957.1082355485526,924.4674773017296,958.1104613620573,925.7011704363156
12401,1439.2709142796155,1399.4605576027286,1438.5119757079901,1399.0353310992168,1439.2130453401337,1400.0614884690367,1440.0635752219857,1401.2292036182382,1440.4889183643834,1401.9641434335433,1440.4736881808687,1402.2512193578775,1440.2252971791795,1402.2981257295005,1439.9373630373696,1402.2987468938716,1439.7051372962708,1402.348587336811,1439.5401180113945,1402.459384463899,1439.415896848824,1402.6049578603756,1439.3040564663409,1402.7571059698382
12508,1612.1818023825178,1584.0942060003415,1615.1004819532536,1587.2516793491463,1616.4435985477764,1588.8276258951553,1621.599367052709,1594.2102782310394,1633.3350321991663,1606.1672551342783,1641.4317517444008,1614.4803897366376,1651.3934571456423,1624.6524929817613,1660.6567896635518,1634.1216104530952,1662.85275331854,1636.5182821380115,1666.5074833364126,1640.3689297575827,1669.4371866004979,1643.4902730940814,1677.0015557771467,1651.242296853935
12550,1434.3674564788398,1405.8892533564122,1439.0610021652583,1410.8218950667947,1443.250918734404,1415.244183519083,1446.9557560632354,1419.1764271966779,1450.3235237444414,1422.7657173703515,1453.5408024665976,1426.1993184613852,1456.7681744839315,1429.6375999505203,1460.1040841779486,1433.18012406435,1463.5819368845964,1436.8596402807602,1467.1836066625533,1440.658768020025,1470.8643402392963,1444.5324630762184,1474.5742574884277,1448.4314231172877
12590,1515.7052903932158,1492.4551664283476,1522.850283101664,1499.7969846181068,1533.1931939215872,1510.3333617264082,1545.4364734282954,1522.764499103887,1556.8708015569982,1534.3822164154058,1564.4048120302527,1542.095092659797,1571.1335047833772,1548.9974757937002,1575.6447314828963,1553.6802747715476,1581.7499838964195,1559.9521629819333,1586.6115645482546,1564.9763082055824,1591.6711729428457,1570.1953806980423,1596.3537274627936,1575.0335430588655
12601,1258.9742484066253,1238.562381256643,1260.8840149732102,1240.6432848144116,1262.9961104990484,1242.9221651005064,1265.5885733855216,1245.6773493588125,1268.5226779291079,1248.7699542550527,1271.5674383327857,1251.969829621736,1274.5758753530752,1255.1297251162298,1277.510003604571,1258.2116465415515,1280.3940866505093,1261.2403954247318,1283.2646551597409,1264.252365153991,1286.1437825851733,1267.2699942086945,1289.0369216440106,1270.2981205088852
12603,1416.1335342203179,1390.9728017601265,1417.408705665932,1392.4587604399524,1420.3795126241541,1395.635439576691,1424.6400397131436,1400.0967803025644,1429.6610485570973,1405.313719980346,1434.9205392756542,1410.7643791036992,1439.9969275870928,1416.0272380285971,1444.6163917516699,1420.8295989685555,1448.6644491873367,1425.0563343730732,1452.1630737497617,1428.728189534303,1455.2252964322354,1431.9620785818372,1458.0162040066748,1434.920007240779
12866,1709.1226131202657,1661.0838699585743,1699.6954704797076,1652.0678081018082,1696.9403643792791,1649.7127833428056,1698.2596513839628,1651.4214832305172,1706.4474451998228,1659.9901805472894,1719.6018181007425,1673.5158220747485,1729.4693750814727,1683.7456036565372,1732.5398038936617,1687.1695815376913,1730.945524626494,1685.9202141185826,1725.4235217700268,1680.735735192248,1716.0172746247028,1671.6597404929005,1705.306959487528,1661.2724188342224
13203,910.7978638678677,884.8313522378359,905.3370000182566,879.590383669189,902.6548265108776,877.1220128089573,897.6544843173019,872.3305973953518,892.7318864333474,867.6114127483231,891.9811744606174,867.0594076971028,893.1603868801858,868.4327862589939,897.5580048054884,873.0198092196448,895.2055125525134,870.8524993984612,893.5009334420683,869.3288889297762,894.3846636797883,870.3896031453854,897.2168654555932,873.394940237043
13204,908.3705959312078,886.8165654921454,905.4193270988789,884.0458885536499,904.1760050380076,882.9788915872498,903.8315442931612,882.8058453767553,903.8472947759298,882.9893976423199,903.9426683282085,883.2484876715051,904.0063249494704,883.4721377107203,904.0151781192017,883.6370281113097,903.9801461314485,883.7547400352992,903.9194446031008,883.8434222235173,903.8475608705486,883.9174373336829,903.772785905634,883.9857105875242
13205,947.2883206477379,911.2548511575721,947.1395583901526,911.4087281083569,946.9899998412768,911.5539341503388,946.8480360252744,911.6995188052653,946.7062067691766,911.838335026322,946.5704545833405,911.9765993610984,946.4355829418236,912.1093724787892,946.3057028207428,912.2410086459726,946.1771576939948,912.3680819978729,946.0528056555472,912.4936693498312,945.9300525658242,912.6153841935148,945.8108926013483,912.7354178517828
13206,913.7327039414153,890.575149917043,914.2594030546989,891.2959698746135,915.0251142752819,892.2507338442268,915.4962879119558,892.9063925181441,915.618103194892,893.2080497661036,915.5258966234333,893.2920381049676,915.362410521732,893.3004239923011,915.209551209946,893.3152798479713,915.0918134518878,893.3617714022952,915.0034097061956,893.43361285309,914.9300145310925,893.5168375745162,914.8604725015754,893.6011013081473
